#ncbi_taxid	cluster_id	cluster_size	best_described_by
362663	CL:0	4600	biological_process
362663	CL:100	9	mixed, incl. large ribosomal subunit, and L21-like superfamily
362663	CL:1000	13	peptidoglycan turnover, and Protein AmpE
362663	CL:1002	8	peptidoglycan turnover, and Protein AmpE
362663	CL:1025	5	mixed, incl. ELP3/YhcC, and Glyoxalase ElbB
362663	CL:1035	5	mixed, incl. LppC putative lipoprotein, and DnaA initiator-associating protein
362663	CL:1049	301	small molecule biosynthetic process, and nucleoside phosphate biosynthetic process
362663	CL:1050	281	small molecule biosynthetic process, and nucleoside monophosphate metabolic process
362663	CL:1051	208	cellular amino acid biosynthetic process, and nucleoside monophosphate metabolic process
362663	CL:1052	161	cellular amino acid biosynthetic process, and nucleoside monophosphate biosynthetic process
362663	CL:1053	90	Amino-acid biosynthesis, and Pyruvate metabolism
362663	CL:1054	61	Amino-acid biosynthesis, and folic acid biosynthetic process
362663	CL:1055	33	aromatic amino acid family biosynthetic process
362663	CL:1056	28	aromatic amino acid family biosynthetic process
362663	CL:1057	20	aromatic amino acid family biosynthetic process
362663	CL:1059	11	Tryptophan biosynthesis, and Chorismate mutase type II
362663	CL:1061	5	Tryptophan biosynthesis
362663	CL:1083	5	Histidine metabolism
362663	CL:1098	6	chorismate biosynthetic process
362663	CL:1111	5	L-serine biosynthetic process, and Cytidylate kinase
362663	CL:1120	28	aspartate family amino acid biosynthetic process, and glutamine family amino acid biosynthetic process
362663	CL:1121	16	aspartate family amino acid biosynthetic process
362663	CL:1122	11	diaminopimelate metabolic process, and Homoserine kinase
362663	CL:1123	6	Lysine biosynthesis
362663	CL:1134	5	threonine biosynthetic process
362663	CL:1143	5	methionine metabolic process
362663	CL:1152	12	glutamine family amino acid biosynthetic process
362663	CL:1155	5	Arginine biosynthesis
362663	CL:1176	25	Valine, leucine and isoleucine biosynthesis, and Pyruvate metabolism
362663	CL:1177	13	Branched-chain amino acid biosynthesis
362663	CL:1179	7	valine metabolic process
362663	CL:12	4582	biological_process
362663	CL:1202	12	Pyruvate metabolism
362663	CL:1205	6	mixed, incl. NADH binding, and pyruvate catabolic process
362663	CL:122	12	mixed, incl. large ribosomal subunit, and Methylation
362663	CL:1232	71	nucleoside monophosphate biosynthetic process, and Pyrimidine metabolism
362663	CL:1233	57	nucleoside monophosphate biosynthetic process, and Pyrimidine metabolism
362663	CL:1234	52	nucleoside monophosphate biosynthetic process, and Pyrimidine metabolism
362663	CL:1235	33	ribonucleoside monophosphate biosynthetic process, and pyrimidine ribonucleoside triphosphate metabolic process
362663	CL:1236	25	ribonucleoside monophosphate biosynthetic process
362663	CL:1237	17	purine nucleoside monophosphate biosynthetic process
362663	CL:1238	11	de novo IMP biosynthetic process
362663	CL:1240	6	de novo IMP biosynthetic process
362663	CL:1259	6	Purine salvage, and GMP biosynthesis
362663	CL:1270	8	Pyrimidine biosynthesis
362663	CL:1286	5	pyrimidine ribonucleoside triphosphate metabolic process, and dCTP deaminase
362663	CL:1301	15	mixed, incl. nucleotide catabolic process, and thymidine phosphorylase activity
362663	CL:1303	7	mixed, incl. uridine phosphorylase activity, and HD domain
362663	CL:1337	5	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity, and Survival protein SurE
362663	CL:1346	14	One carbon pool by folate, and aspartate biosynthetic process
362663	CL:1349	6	tetrahydrofolate interconversion, and Formyltetrahydrofolate deformylase
362663	CL:1373	47	Glutathione metabolism, and Alanine, aspartate and glutamate metabolism
362663	CL:1374	27	Alanine, aspartate and glutamate metabolism, and Pantothenate biosynthesis
362663	CL:1375	16	mixed, incl. glycine catabolic process, and 5-oxoprolinase (ATP-hydrolyzing) activity
362663	CL:1376	11	mixed, incl. glycine catabolic process, and Glutaminase
362663	CL:1379	5	glutamate biosynthetic process, and Glutamine synthetase type I
362663	CL:1397	5	5-oxoprolinase (ATP-hydrolyzing) activity, and Endonuclease VIII
362663	CL:1406	11	Pantothenate biosynthesis, and asparaginase activity
362663	CL:1408	6	asparagine metabolic process, and Aspartate ammonia-lyase
362663	CL:1427	20	Glutathione metabolism, and cystathionine beta-lyase activity
362663	CL:1428	14	Glutathione metabolism, and cystathionine beta-lyase activity
362663	CL:1430	7	mixed, incl. glutathione biosynthetic process, and Peptidase family M1 domain
362663	CL:1446	5	cystathionine beta-lyase activity
362663	CL:1455	6	glutathione transferase activity, and CHAP domain
362663	CL:146	16	rRNA-binding
362663	CL:1466	73	mixed, incl. water-soluble vitamin biosynthetic process, and Terpenoid backbone biosynthesis
362663	CL:1467	50	water-soluble vitamin biosynthetic process, and queuosine metabolic process
362663	CL:1468	28	Riboflavin metabolism, and Folate biosynthesis
362663	CL:1469	22	Riboflavin metabolism, and queuosine metabolic process
362663	CL:147	9	Ribosome
362663	CL:1470	16	Riboflavin metabolism, and Folate biosynthesis
362663	CL:1473	5	Riboflavin biosynthesis
362663	CL:1489	5	Riboflavin metabolism
362663	CL:1502	5	Queuosine biosynthesis
362663	CL:1512	6	mixed, incl. Cell division protein DedD, and Colicin V production, CvpA
362663	CL:1523	22	thiamine biosynthetic process, and Biotin biosynthesis
362663	CL:1524	17	thiamine biosynthetic process, and Biotin biosynthesis
362663	CL:1528	5	Biotin biosynthesis
362663	CL:1543	5	thiamine biosynthetic process
362663	CL:1557	5	mixed, incl. RsgA GTPase, and Alkaline phosphatase
362663	CL:1566	23	Terpenoid backbone biosynthesis, and coenzyme A metabolic process
362663	CL:1568	12	Isoprene biosynthesis, and Polyprenyl synthetase
362663	CL:1571	5	isopentenyl diphosphate metabolic process
362663	CL:1597	5	Coenzyme A biosynthesis, and Acyl carrier protein phosphodiesterase
362663	CL:16	4577	biological_process
362663	CL:1611	20	Nicotinate and nicotinamide metabolism, and nicotinamide riboside transport
362663	CL:1613	14	Nicotinate and nicotinamide metabolism
362663	CL:1615	5	nicotinamide nucleotide metabolic process
362663	CL:1629	6	pyridine nucleotide biosynthetic process
362663	CL:164	7	mixed, incl. small ribosomal subunit, and Ribosomal protein S8
362663	CL:1650	25	mixed, incl. glycine betaine transport, and oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor
362663	CL:1651	15	mixed, incl. oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor, and RelA/SpoT
362663	CL:1654	7	ribonucleoside-diphosphate reductase complex, and NrdI Flavodoxin like 
362663	CL:1671	5	RelA/SpoT, and Guanylate kinase
362663	CL:1681	8	glycine betaine transport, and ABC-type glycine betaine transport system, substrate-binding domain
362663	CL:1699	18	mixed, incl. Bacterial DNA-binding protein, and endodeoxyribonuclease activity, producing 5-phosphomonoesters
362663	CL:1700	10	mixed, incl. Bacterial DNA-binding protein, and Trm112-like
362663	CL:1701	5	Bacterial DNA-binding protein, and Trm112-like
362663	CL:1710	5	Bacterial DNA-binding protein, and Endonuclease V
362663	CL:1720	6	mixed, incl. SprT-like, and Endonuclease I
362663	CL:1734	18	mixed, incl. Biofilm formation YgiB, and Glutathionylspermidine synthase preATP-grasp
362663	CL:1735	13	mixed, incl. Biofilm formation YgiB, and Glutathionylspermidine synthase preATP-grasp
362663	CL:1737	6	mixed, incl. Protein of unknown function DUF350, and Protein of unknown function DUF2170
362663	CL:1751	5	mixed, incl. cAMP, and plasmid partitioning
362663	CL:1760	5	mixed, incl. Gluconeogenesis factor, and Protein of unknown function DUF2627
362663	CL:1769	20	mixed, incl. N-methyltransferase activity, and Paraquat-inducible protein A
362663	CL:1770	14	mixed, incl. Paraquat-inducible protein A, and Mce/MlaD
362663	CL:1772	5	Paraquat-inducible protein A, and Mce/MlaD
362663	CL:1788	5	Methyltransferase type 11, and Methyltransferase VrtF-like
362663	CL:1797	6	mixed, incl. rRNA (adenine-N6-)-methyltransferase activity, and Putative SAM-dependent methyltransferase
362663	CL:1808	80	mixed, incl. iron-sulfur cluster assembly, and Redox-active center
362663	CL:1809	43	mixed, incl. Redox-active center, and reactive oxygen species metabolic process
362663	CL:1810	32	mixed, incl. Redox-active center, and reactive oxygen species metabolic process
362663	CL:1811	25	mixed, incl. Redox-active center, and reactive oxygen species metabolic process
362663	CL:1813	10	reactive oxygen species metabolic process, and Antioxidant
362663	CL:1815	5	superoxide dismutase activity, and Hydrogen peroxide
362663	CL:1839	11	mixed, incl. Thioredoxin-like domain, and Thioredoxin reductase
362663	CL:1841	5	Thioredoxin-like domain, and Disulphide bond formation protein DsbB
362663	CL:1860	7	mixed, incl. Rhodanese-like domain, and Glutaredoxin, GrxC
362663	CL:1873	11	mixed, incl. AsnC-type HTH domain, and Flavodoxin
362663	CL:1874	6	mixed, incl. Flavodoxin domain, and PGAP1-like protein
362663	CL:1885	5	AsnC-type HTH domain, and AAA C-terminal domain
362663	CL:1894	37	mixed, incl. iron-sulfur cluster assembly, and DsrEFH-like
362663	CL:1896	21	iron-sulfur cluster assembly, and cyclic threonylcarbamoyladenosine biosynthetic process
362663	CL:1897	12	iron-sulfur cluster assembly, and Adrenodoxin
362663	CL:1900	7	iron-sulfur cluster transfer complex, and iron-sulfur cluster assembly
362663	CL:1922	5	iron-sulfur cluster assembly complex, and Cysteine desulfuration protein SufE
362663	CL:1942	13	mixed, incl. DsrEFH-like, and tRNA thio-modification
362663	CL:1944	7	mixed, incl. DsrEFH-like, and YheO-like
362663	CL:1967	50	mixed, incl. ubiquinone metabolic process, and heme metabolic process
362663	CL:1968	39	ubiquinone metabolic process, and heme metabolic process
362663	CL:1969	34	heme metabolic process, and ubiquinone metabolic process
362663	CL:1970	20	ubiquinone metabolic process, and TAT protein transport complex
362663	CL:1971	14	ubiquinone metabolic process
362663	CL:1973	7	Ubiquinone biosynthesis hydroxylase UbiH/COQ6, and quinone cofactor methyltransferase activity
362663	CL:1999	5	TAT protein transport complex
362663	CL:2010	11	heme biosynthetic process
362663	CL:2011	6	Porphyrin biosynthesis
362663	CL:2022	5	heme biosynthetic process
362663	CL:2036	5	mixed, incl. Hly-III, and Aminopeptidase P, N-terminal
362663	CL:2045	11	mixed, incl. NqrDE/RnfAE, and FMN-binding
362663	CL:2048	6	mixed, incl. NqrDE/RnfAE, and FMN-binding
362663	CL:2066	217	mixed, incl. Oxidative phosphorylation, and fatty acid metabolic process
362663	CL:2067	187	mixed, incl. Oxidative phosphorylation, and fatty acid metabolic process
362663	CL:2068	152	mixed, incl. Oxidative phosphorylation, and fatty acid metabolic process
362663	CL:2069	121	Oxidative phosphorylation, and fatty acid metabolic process
362663	CL:2070	116	Oxidative phosphorylation, and fatty acid metabolic process
362663	CL:2072	69	Oxidative phosphorylation, and Citrate cycle (TCA cycle)
362663	CL:2073	36	Oxidative phosphorylation
362663	CL:2075	25	Oxidative phosphorylation
