#ncbi_taxid	cluster_id	protein_id
1110504	CL:0	1110504.MAGb_0030
1110504	CL:0	1110504.MAGb_0040
1110504	CL:0	1110504.MAGb_0050
1110504	CL:0	1110504.MAGb_0090
1110504	CL:0	1110504.MAGb_0100
1110504	CL:0	1110504.MAGb_0110
1110504	CL:0	1110504.MAGb_0120
1110504	CL:0	1110504.MAGb_0130
1110504	CL:0	1110504.MAGb_0140
1110504	CL:0	1110504.MAGb_0180
1110504	CL:0	1110504.MAGb_0190
1110504	CL:0	1110504.MAGb_0200
1110504	CL:0	1110504.MAGb_0210
1110504	CL:0	1110504.MAGb_0220
1110504	CL:0	1110504.MAGb_0230
1110504	CL:0	1110504.MAGb_0240
1110504	CL:0	1110504.MAGb_0250
1110504	CL:0	1110504.MAGb_0260
1110504	CL:0	1110504.MAGb_0270
1110504	CL:0	1110504.MAGb_0280
1110504	CL:0	1110504.MAGb_0290
1110504	CL:0	1110504.MAGb_0300
1110504	CL:0	1110504.MAGb_0310
1110504	CL:0	1110504.MAGb_0320
1110504	CL:0	1110504.MAGb_0330
1110504	CL:0	1110504.MAGb_0340
1110504	CL:0	1110504.MAGb_0350
1110504	CL:0	1110504.MAGb_0360
1110504	CL:0	1110504.MAGb_0370
1110504	CL:0	1110504.MAGb_0380
1110504	CL:0	1110504.MAGb_0390
1110504	CL:0	1110504.MAGb_0430
1110504	CL:0	1110504.MAGb_0440
1110504	CL:0	1110504.MAGb_0450
1110504	CL:0	1110504.MAGb_0460
1110504	CL:0	1110504.MAGb_0470
1110504	CL:0	1110504.MAGb_0480
1110504	CL:0	1110504.MAGb_0490
1110504	CL:0	1110504.MAGb_0500
1110504	CL:0	1110504.MAGb_0510
1110504	CL:0	1110504.MAGb_0520
1110504	CL:0	1110504.MAGb_0530
1110504	CL:0	1110504.MAGb_0540
1110504	CL:0	1110504.MAGb_0550
1110504	CL:0	1110504.MAGb_0590
1110504	CL:0	1110504.MAGb_0600
1110504	CL:0	1110504.MAGb_0610
1110504	CL:0	1110504.MAGb_0620
1110504	CL:0	1110504.MAGb_0630
1110504	CL:0	1110504.MAGb_0640
1110504	CL:0	1110504.MAGb_0660
1110504	CL:0	1110504.MAGb_0670
1110504	CL:0	1110504.MAGb_0680
1110504	CL:0	1110504.MAGb_0690
1110504	CL:0	1110504.MAGb_0700
1110504	CL:0	1110504.MAGb_0710
1110504	CL:0	1110504.MAGb_0720
1110504	CL:0	1110504.MAGb_0730
1110504	CL:0	1110504.MAGb_0740
1110504	CL:0	1110504.MAGb_0750
1110504	CL:0	1110504.MAGb_0760
1110504	CL:0	1110504.MAGb_0770
1110504	CL:0	1110504.MAGb_0780
1110504	CL:0	1110504.MAGb_0790
1110504	CL:0	1110504.MAGb_0800
1110504	CL:0	1110504.MAGb_0810
1110504	CL:0	1110504.MAGb_0820
1110504	CL:0	1110504.MAGb_0830
1110504	CL:0	1110504.MAGb_0840
1110504	CL:0	1110504.MAGb_0850
1110504	CL:0	1110504.MAGb_0860
1110504	CL:0	1110504.MAGb_0890
1110504	CL:0	1110504.MAGb_0910
1110504	CL:0	1110504.MAGb_0940
1110504	CL:0	1110504.MAGb_0950
1110504	CL:0	1110504.MAGb_0970
1110504	CL:0	1110504.MAGb_0980
1110504	CL:0	1110504.MAGb_1000
1110504	CL:0	1110504.MAGb_1010
1110504	CL:0	1110504.MAGb_1020
1110504	CL:0	1110504.MAGb_1030
1110504	CL:0	1110504.MAGb_1040
1110504	CL:0	1110504.MAGb_1050
1110504	CL:0	1110504.MAGb_1060
1110504	CL:0	1110504.MAGb_1070
1110504	CL:0	1110504.MAGb_1080
1110504	CL:0	1110504.MAGb_1090
1110504	CL:0	1110504.MAGb_1100
1110504	CL:0	1110504.MAGb_1110
1110504	CL:0	1110504.MAGb_1120
1110504	CL:0	1110504.MAGb_1130
1110504	CL:0	1110504.MAGb_1140
1110504	CL:0	1110504.MAGb_1160
1110504	CL:0	1110504.MAGb_1170
1110504	CL:0	1110504.MAGb_1180
1110504	CL:0	1110504.MAGb_1190
1110504	CL:0	1110504.MAGb_1200
1110504	CL:0	1110504.MAGb_1210
1110504	CL:0	1110504.MAGb_1220
1110504	CL:0	1110504.MAGb_1230
1110504	CL:0	1110504.MAGb_1240
1110504	CL:0	1110504.MAGb_1250
1110504	CL:0	1110504.MAGb_1260
1110504	CL:0	1110504.MAGb_1270
1110504	CL:0	1110504.MAGb_1280
1110504	CL:0	1110504.MAGb_1290
1110504	CL:0	1110504.MAGb_1300
1110504	CL:0	1110504.MAGb_1310
1110504	CL:0	1110504.MAGb_1320
1110504	CL:0	1110504.MAGb_1330
1110504	CL:0	1110504.MAGb_1340
1110504	CL:0	1110504.MAGb_1350
1110504	CL:0	1110504.MAGb_1360
1110504	CL:0	1110504.MAGb_1370
1110504	CL:0	1110504.MAGb_1380
1110504	CL:0	1110504.MAGb_1390
1110504	CL:0	1110504.MAGb_1400
1110504	CL:0	1110504.MAGb_1410
1110504	CL:0	1110504.MAGb_1420
1110504	CL:0	1110504.MAGb_1430
1110504	CL:0	1110504.MAGb_1440
1110504	CL:0	1110504.MAGb_1450
1110504	CL:0	1110504.MAGb_1460
