protein1 protein2 combined_score
1110504.MAGb_0030 1110504.MAGb_0040 845
1110504.MAGb_0040 1110504.MAGb_0030 845
1110504.MAGb_0030 1110504.MAGb_0050 223
1110504.MAGb_0050 1110504.MAGb_0030 223
1110504.MAGb_0030 1110504.MAGb_0090 794
1110504.MAGb_0090 1110504.MAGb_0030 794
1110504.MAGb_0030 1110504.MAGb_0100 201
1110504.MAGb_0100 1110504.MAGb_0030 201
1110504.MAGb_0030 1110504.MAGb_0110 357
1110504.MAGb_0110 1110504.MAGb_0030 357
1110504.MAGb_0030 1110504.MAGb_0120 173
1110504.MAGb_0120 1110504.MAGb_0030 173
1110504.MAGb_0030 1110504.MAGb_0130 170
1110504.MAGb_0130 1110504.MAGb_0030 170
1110504.MAGb_0030 1110504.MAGb_0140 254
1110504.MAGb_0140 1110504.MAGb_0030 254
1110504.MAGb_0030 1110504.MAGb_0210 408
1110504.MAGb_0210 1110504.MAGb_0030 408
1110504.MAGb_0030 1110504.MAGb_0550 276
1110504.MAGb_0550 1110504.MAGb_0030 276
1110504.MAGb_0030 1110504.MAGb_0630 172
1110504.MAGb_0630 1110504.MAGb_0030 172
1110504.MAGb_0030 1110504.MAGb_0750 179
1110504.MAGb_0750 1110504.MAGb_0030 179
1110504.MAGb_0030 1110504.MAGb_0780 181
1110504.MAGb_0780 1110504.MAGb_0030 181
1110504.MAGb_0030 1110504.MAGb_0860 190
1110504.MAGb_0860 1110504.MAGb_0030 190
1110504.MAGb_0030 1110504.MAGb_0890 217
1110504.MAGb_0890 1110504.MAGb_0030 217
1110504.MAGb_0030 1110504.MAGb_0980 168
1110504.MAGb_0980 1110504.MAGb_0030 168
1110504.MAGb_0030 1110504.MAGb_1080 208
1110504.MAGb_1080 1110504.MAGb_0030 208
1110504.MAGb_0030 1110504.MAGb_1090 154
1110504.MAGb_1090 1110504.MAGb_0030 154
1110504.MAGb_0030 1110504.MAGb_1170 169
1110504.MAGb_1170 1110504.MAGb_0030 169
1110504.MAGb_0030 1110504.MAGb_1180 169
1110504.MAGb_1180 1110504.MAGb_0030 169
1110504.MAGb_0030 1110504.MAGb_1190 230
1110504.MAGb_1190 1110504.MAGb_0030 230
1110504.MAGb_0030 1110504.MAGb_1210 152
1110504.MAGb_1210 1110504.MAGb_0030 152
