#ncbi_taxid	cluster_id	cluster_size	best_described_by
4932	CL:1	6393	biological_process
4932	CL:10015	5	nitrile metabolic process, and Vacuolar protein sorting-associated protein 62
4932	CL:10030	5	mixed, incl. Flocculin, and Major facilitator superfamily
4932	CL:10044	29	mostly uncharacterized, incl. Glycosyl hydrolase family 76 , and Concanavalin A-like lectin/glucanase domain superfamily
4932	CL:10045	16	mostly uncharacterized, incl. Glycosyl hydrolase family 76 , and Staphylococcal nuclease homologue
4932	CL:10047	5	mixed, incl. Globin, and 3-UTR-mediated mRNA destabilization
4932	CL:10063	7	mixed, incl. Glycosyl hydrolase family 76 , and Staphylococcal nuclease homologue
4932	CL:10077	12	mostly uncharacterized, incl. LCCL domain, and Rft protein
4932	CL:10078	6	mixed, incl. LCCL domain, and Rft protein
4932	CL:10090	5	mixed, incl. Acid Phosphatase, and BSD domain
4932	CL:10101	50	mostly uncharacterized, incl. Chitin degradation, and PIN domain
4932	CL:10102	39	mostly uncharacterized, incl. Chitin degradation, and Aquaporin transporter
4932	CL:10103	27	mixed, incl. Chitin degradation, and Aquaporin transporter
4932	CL:10105	19	mixed, incl. Chitin degradation, and Beta-glucanase
4932	CL:10106	13	mixed, incl. Chitin degradation, and Beta-glucanase
4932	CL:10108	5	mixed, incl. Beta-glucanase, and Protein of unknown function DUF4451
4932	CL:10131	6	mixed, incl. acyl-CoA binding, and Protein of unknown function DUF3605
4932	CL:1015	6	mixed, incl. Cgr1-like, and GNL3L/Grn1 putative GTPase
4932	CL:10156	12	mostly uncharacterized, incl. Ribosome-releasing factor 2, mitochondrial, and FMN-binding split barrel
4932	CL:10158	5	mixed, incl. FMN-binding split barrel, and mitochondrion disassembly
4932	CL:10168	6	mixed, incl. Yeast membrane protein DUP/COS, and hexose transmembrane transporter activity
4932	CL:10179	11	mixed, incl. PIN domain, and histidine transport
4932	CL:10181	5	PIN domain
4932	CL:10191	5	mixed, incl. histidine transport, and protein phosphatase 1 binding
4932	CL:10200	39	mixed, incl. eisosome, and Platelet degranulation
4932	CL:10202	22	mixed, incl. eisosome, and PX-associated
4932	CL:10203	15	mixed, incl. eisosome, and PX-associated
4932	CL:10205	8	eisosome, and protein localization to eisosome filament
4932	CL:10223	5	mixed, incl. PX-associated, and Domain of unknown function DUF2415
4932	CL:10232	7	mixed, incl. Putative peptidase family, and 5-flap-structured DNA binding
4932	CL:10253	12	mostly uncharacterized, incl. mRNA biogenesis factor, and Aminoglycoside phosphotransferase
4932	CL:10254	6	mixed, incl. mRNA biogenesis factor, and Aminoglycoside phosphotransferase
4932	CL:10265	6	mixed, incl. regulation of G protein-coupled receptor signaling pathway, and 10TM putative phosphate transporter, extracellular tail
4932	CL:10277	51	mostly uncharacterized, incl. protein folding in endoplasmic reticulum, and Putative threonine/serine exporter
4932	CL:10278	46	mixed, incl. protein folding in endoplasmic reticulum, and Putative threonine/serine exporter
4932	CL:10279	26	mostly uncharacterized, incl. Putative threonine/serine exporter, and P-body
4932	CL:10280	21	mostly uncharacterized, incl. Putative threonine/serine exporter, and Protein kish
4932	CL:10282	12	mixed, incl. Putative threonine/serine exporter, and Protein kish
4932	CL:10284	6	mixed, incl. Putative threonine/serine exporter, and cellular bud membrane
4932	CL:10312	5	mixed, incl. PSP1, C-terminal, and AMP-activated protein kinase, glycogen-binding domain
4932	CL:10321	5	mixed, incl. Peptidase family M49, and Protein of unknown function DUF1776, fungi
4932	CL:1033	10	mixed, incl. Rix1 complex, and Sda1
4932	CL:10330	20	mixed, incl. protein folding in endoplasmic reticulum, and Fyv7/TAP26
4932	CL:10332	10	ER membrane protein complex, and Protein Sop4
4932	CL:10335	5	ER membrane protein complex
4932	CL:1035	5	Rix1 complex, and Sda1
4932	CL:10355	7	mixed, incl. Fyv7/TAP26, and Tapt1 family
4932	CL:10369	5	Domain of unknown function DUF155, and MIOREX complex component 11
4932	CL:10379	40	mixed, incl. negative regulation of gluconeogenesis, and protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
4932	CL:10380	25	negative regulation of gluconeogenesis, and protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
4932	CL:10381	14	mixed, incl. protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway, and Yippee family
4932	CL:10383	5	mixed, incl. Yippee family, and Phospholipase C/D
4932	CL:10396	5	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
4932	CL:104	6288	biological_process
4932	CL:10411	7	GID complex
4932	CL:10429	15	mostly uncharacterized, incl. Cwf19-like protein, and Kelch repeat type 2
4932	CL:10431	6	mixed, incl. LIM-domain binding protein, and Gti1/Pac2 family
4932	CL:10446	5	mixed, incl. Kelch repeat type 2, and response to hexose
4932	CL:10459	41	mostly uncharacterized, incl. Serine aminopeptidase, S33, and cinnamic acid metabolic process
4932	CL:10460	29	mixed, incl. Serine aminopeptidase, S33, and cinnamic acid metabolic process
4932	CL:10462	14	mixed, incl. Lipid-droplet associated hydrolase, and Marvel domain
4932	CL:10464	5	Lipid-droplet associated hydrolase, and protein depalmitoylation
4932	CL:10480	5	Marvel domain, and GAG-pre-integrase domain
4932	CL:10491	13	mixed, incl. AB hydrolase 4 family, and cinnamic acid metabolic process
