#string_protein_id	preferred_name	protein_size	annotation
118005.AWNK01000001_gene1784	AWNK01000001_gene1784	81	annotation not available
118005.AWNK01000001_gene1785	AWNK01000001_gene1785	837	annotation not available
118005.AWNK01000001_gene1786	AWNK01000001_gene1786	456	annotation not available
118005.AWNK01000001_gene1787	AWNK01000001_gene1787	82	annotation not available
118005.AWNK01000001_gene1788	AWNK01000001_gene1788	221	annotation not available
118005.AWNK01000001_gene1789	AWNK01000001_gene1789	557	annotation not available
118005.AWNK01000001_gene1790	AWNK01000001_gene1790	347	annotation not available
118005.AWNK01000001_gene1791	AWNK01000001_gene1791	219	annotation not available
118005.AWNK01000001_gene1792	AWNK01000001_gene1792	155	annotation not available
118005.AWNK01000001_gene1793	AWNK01000001_gene1793	100	annotation not available
118005.AWNK01000001_gene1794	AWNK01000001_gene1794	298	annotation not available
118005.AWNK01000001_gene1795	AWNK01000001_gene1795	286	annotation not available
118005.AWNK01000001_gene1796	AWNK01000001_gene1796	249	annotation not available
118005.AWNK01000001_gene1797	AWNK01000001_gene1797	226	annotation not available
118005.AWNK01000001_gene1798	AWNK01000001_gene1798	194	annotation not available
118005.AWNK01000001_gene1799	AWNK01000001_gene1799	486	annotation not available
118005.AWNK01000001_gene1800	AWNK01000001_gene1800	46	annotation not available
118005.AWNK01000001_gene1801	AWNK01000001_gene1801	611	annotation not available
118005.AWNK01000001_gene1802	AWNK01000001_gene1802	401	annotation not available
118005.AWNK01000001_gene1803	AWNK01000001_gene1803	441	annotation not available
118005.AWNK01000001_gene1804	AWNK01000001_gene1804	304	annotation not available
118005.AWNK01000001_gene1805	AWNK01000001_gene1805	141	annotation not available
118005.AWNK01000001_gene1806	AWNK01000001_gene1806	374	annotation not available
118005.AWNK01000001_gene1807	AWNK01000001_gene1807	286	annotation not available
118005.AWNK01000001_gene1808	AWNK01000001_gene1808	503	annotation not available
118005.AWNK01000001_gene1809	AWNK01000001_gene1809	445	annotation not available
118005.AWNK01000001_gene1810	AWNK01000001_gene1810	192	annotation not available
118005.AWNK01000001_gene1811	AWNK01000001_gene1811	32	annotation not available
118005.AWNK01000001_gene1812	AWNK01000001_gene1812	242	annotation not available
118005.AWNK01000001_gene1813	AWNK01000001_gene1813	221	annotation not available
118005.AWNK01000001_gene1814	AWNK01000001_gene1814	176	annotation not available
118005.AWNK01000001_gene1815	AWNK01000001_gene1815	574	annotation not available
118005.AWNK01000001_gene1816	AWNK01000001_gene1816	239	annotation not available
118005.AWNK01000001_gene1817	AWNK01000001_gene1817	33	annotation not available
118005.AWNK01000001_gene1818	AWNK01000001_gene1818	161	annotation not available
118005.AWNK01000001_gene1819	AWNK01000001_gene1819	475	annotation not available
118005.AWNK01000001_gene1820	AWNK01000001_gene1820	148	annotation not available
118005.AWNK01000001_gene1821	AWNK01000001_gene1821	173	annotation not available
118005.AWNK01000001_gene1822	AWNK01000001_gene1822	435	annotation not available
118005.AWNK01000001_gene1823	AWNK01000001_gene1823	486	annotation not available
118005.AWNK01000001_gene1824	AWNK01000001_gene1824	458	annotation not available
118005.AWNK01000001_gene1825	AWNK01000001_gene1825	533	annotation not available
