#string_protein_id	preferred_name	protein_size	annotation
1110504.MAGb_0030	CDS17	928	DUF87 domain-containing protein
1110504.MAGb_0040	MAGb_0040	128	Uncharacterized protein
1110504.MAGb_0050	CDS16	357	Uncharacterized protein
1110504.MAGb_0060	MAGb_0060	119	Uncharacterized protein
1110504.MAGb_0070	MAGb_0070	79	Uncharacterized protein
1110504.MAGb_0080	MAGb_0080	329	Uncharacterized protein
1110504.MAGb_0090	CDS5	670	Uncharacterized protein
1110504.MAGb_0100	MAGb_0100	225	Uncharacterized protein
1110504.MAGb_0110	MAGb_0110	189	Uncharacterized protein
1110504.MAGb_0120	MAGb_0120	231	Uncharacterized protein
1110504.MAGb_0130	MAGb_0130	138	Uncharacterized protein
1110504.MAGb_0140	MAGb_0140	337	Uncharacterized protein
1110504.MAGb_0150	MAGb_0150	266	Uncharacterized protein
1110504.MAGb_0160	MAGb_0160	1407	Uncharacterized protein
1110504.MAGb_0170	MAGb_0170	410	Uncharacterized protein
1110504.MAGb_0180	MAGb_0180	168	Uncharacterized protein
1110504.MAGb_0190	plsY	241	Glycerol-3-phosphate acyltransferase; Catalyzes the transfer of an acyl group from acyl-phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP.
1110504.MAGb_0200	lon	996	Endopeptidase La; Heat shock ATP-dependent protease
1110504.MAGb_0210	leuS	779	Leucyl-tRNA synthetase; Belongs to the class-I aminoacyl-tRNA synthetase family. 
1110504.MAGb_0220	MAGb_0220	239	Hypothetical protein, predicted transmembrane protein
1110504.MAGb_0230	upp	208	Uracil phosphoribosyltransferase; Catalyzes the conversion of uracil and 5-phospho-alpha-D- ribose 1-diphosphate (PRPP) to UMP and diphosphate.
1110504.MAGb_0240	ssb-1	186	Single-stranded DNA-binding protein
1110504.MAGb_0250	pepO	648	Endopeptidase O
1110504.MAGb_0260	rsmE	227	Ribosomal RNA small subunit methyltransferase E; Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit.
1110504.MAGb_0270	gcdH-1	125	Glycine cleavage system H protein
1110504.MAGb_0280	ftsZ	380	Cell division protein FtsZ; Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity. 
1110504.MAGb_0290	MAGb_0290	405	Uncharacterized protein
1110504.MAGb_0300	mraW	300	Ribosomal RNA small subunit methyltransferase H; Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA.
1110504.MAGb_0310	mraZ	151	Transcriptional regulator MraZ; Protein MraZ; Belongs to the MraZ family.
