#string_protein_id	preferred_name	protein_size	annotation
1497679.EP56_00010	tpx	166	Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides
1497679.EP56_00015	EP56_00015	485	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: GeneMarkS+
1497679.EP56_00020	EP56_00020	690	PTS sugar transporter subunit IIA; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00025	EP56_00025	162	PTS fructose transporter subunit IIA; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00030	EP56_00030	93	PTS galactitol transporter subunit IIB; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00035	gatC	426	PTS system galactitol-specific transporter subunit IIC; With GatAB forms a phosphoenolpyruvate-dependent sugar phosphotransferase transporter for galactitol; subunit IIC forms the translocation channel and contains the substrate binding site; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00040	EP56_00040	348	Alcohol dehydrogenase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00045	EP56_00045	343	Sorbitol dehydrogenase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00055	EP56_00055	149	Ribose 5-phosphate isomerase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00060	EP56_00060	217	Transaldolase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00065	EP56_00065	223	Ribulose-phosphate 3-epimerase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00070	EP56_00070	673	Belongs to the transketolase family. 
1497679.EP56_00075	EP56_00075	214	Belongs to the ribulose-phosphate 3-epimerase family. 
1497679.EP56_00080	EP56_00080	344	Belongs to the zinc-containing alcohol dehydrogenase family. Quinone oxidoreductase subfamily. 
1497679.EP56_00085	EP56_00085	172	Diacylglycerol kinase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00090	EP56_00090	211	Amidase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00095	EP56_00095	204	Membrane protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00100	EP56_00100	551	Peptide ABC transporter substrate-binding protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00105	EP56_00105	608	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00110	EP56_00110	635	PTS beta-glucoside transporter subunit IIABC; Phosphoenolpyruvate-dependent sugar phosphotransferase system; catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane; IIB is phosphorylated by IIA and then transfers the phosphoryl group to the sugar; IIC forms the translocation channel; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00115	EP56_00115	221	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00120	EP56_00120	91	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: GeneMarkS+
1497679.EP56_00125	EP56_00125	68	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00135	lipL	280	Catalyzes the amidotransfer (transamidation) of the octanoyl moiety from octanoyl-GcvH to the lipoyl domain of the E2 subunit of lipoate-dependent enzymes
1497679.EP56_00140	EP56_00140	442	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00145	EP56_00145	61	Belongs to the 4-oxalocrotonate tautomerase family. 
1497679.EP56_00150	EP56_00150	217	Zinc metalloprotease; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00155	EP56_00155	149	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00160	argS	556	Arginine--tRNA ligase; Catalyzes a two-step reaction, first charging an arginine molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA; class-I aminoacyl-tRNA synthetase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00170	rpoE	180	Participates in both the initiation and recycling phases of transcription. In the presence of the delta subunit, RNAP displays an increased specificity of transcription, a decreased affinity for nucleic acids, and an increased efficiency of RNA synthesis because of enhanced recycling
1497679.EP56_00175	pyrG	531	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates
1497679.EP56_00180	EP56_00180	64	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00185	EP56_00185	303	ABC transporter ATP-binding protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00190	EP56_00190	269	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00195	EP56_00195	124	GntR family transcriptional regulator; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00200	EP56_00200	290	Sodium ABC transporter ATP-binding protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00205	EP56_00205	211	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00210	EP56_00210	214	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00215	EP56_00215	274	Glyoxal reductase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00220	EP56_00220	767	N-acetylmuramoyl-L-alanine amidase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00225	EP56_00225	305	Lipid kinase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00230	EP56_00230	284	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00235	EP56_00235	381	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00240	murA	423	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine
1497679.EP56_00245	rho	423	Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA- dependent ATPase activity, and release of the mRNA from the DNA template
1497679.EP56_00250	rpmE2	81	RpmE2; there appears to be two types of ribosomal proteins L31 in bacterial genomes; some contain a CxxC motif while others do not; Bacillus subtilis has both types; the proteins in this cluster do not have the CXXC motif; RpmE is found in exponentially growing Bacilli while YtiA was found after exponential growth; expression of ytiA is controlled by a zinc-specific transcriptional repressor; RpmE contains one zinc ion and a CxxC motif is responsible for this binding; forms an RNP particle along with proteins L5, L18, and L25 and 5S rRNA; found crosslinked to L2 and L25 and EF-G; may b [...] 
1497679.EP56_00255	EP56_00255	450	Catalyzes the reduction of 2 glutathione to glutathione disulfide; maintains high levels of reduced glutathione in the cytosol; involved in redox regulation and oxidative defense; Derived by automated computational analysis using gene prediction method: Protein Homology; Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family
1497679.EP56_00260	EP56_00260	458	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00265	EP56_00265	145	MarR family transcriptional regulator; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00270	EP56_00270	428	Homoserine dehydrogenase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00275	EP56_00275	352	Catalyzes the gamma-elimination of phosphate from L- phosphohomoserine and the beta-addition of water to produce L- threonine
1497679.EP56_00280	thrB	288	Catalyzes the ATP-dependent phosphorylation of L-homoserine to L-homoserine phosphate
1497679.EP56_00285	tdk	190	Thymidine kinase; Catalyzes the formation of thymidine 5'-phosphate from thymidine; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00290	prfA	358	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA
1497679.EP56_00300	EP56_00300	348	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine
1497679.EP56_00305	EP56_00305	133	Belongs to the low molecular weight phosphotyrosine protein phosphatase family
1497679.EP56_00310	EP56_00310	173	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00315	glyA	413	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF-independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism
1497679.EP56_00320	upp	209	Catalyzes the conversion of uracil and 5-phospho-alpha-D- ribose 1-diphosphate (PRPP) to UMP and diphosphate
1497679.EP56_00325	EP56_00325	380	Belongs to the UDP-N-acetylglucosamine 2-epimerase family. 
1497679.EP56_00330	EP56_00330	127	ATP synthase subunit I; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00335	atpB	238	Key component of the proton channel; it plays a direct role in the translocation of protons across the membrane. 
1497679.EP56_00340	atpE	72	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
1497679.EP56_00345	atpF	171	Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)
1497679.EP56_00350	atpH	179	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
1497679.EP56_00355	atpA	503	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit. 
1497679.EP56_00360	atpG	287	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex
1497679.EP56_00365	atpD	472	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits
1497679.EP56_00370	atpC	134	Produces ATP from ADP in the presence of a proton gradient across the membrane
1497679.EP56_00375	EP56_00375	79	Membrane protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00380	EP56_00380	429	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine
1497679.EP56_00385	EP56_00385	331	Rod shape-determining protein MreB; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00390	EP56_00390	148	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00395	fabZ	143	Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs
1497679.EP56_00400	EP56_00400	122	Single-stranded DNA-binding protein; Binds to single stranded DNA and may facilitate the binding and interaction of other proteins to DNA; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00405	EP56_00405	271	Peptidase M23B; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00410	EP56_00410	243	Catalyzes the conversion of GlcNAc-PP-undecaprenol into ManNAc-GlcNAc-PP-undecaprenol, the first committed lipid intermediate in the de novo synthesis of teichoic acid
1497679.EP56_00415	menC	370	Converts 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1- carboxylate (SHCHC) to 2-succinylbenzoate (OSB)
1497679.EP56_00420	EP56_00420	350	Glycosyl transferase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00425	EP56_00425	346	Transcriptional regulator; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00430	EP56_00430	180	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00435	EP56_00435	211	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00440	EP56_00440	228	Chemotaxis protein CheY; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00445	EP56_00445	283	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00450	EP56_00450	446	Competence protein ComF; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00455	EP56_00455	229	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00460	hpf	187	Required for dimerization of active 70S ribosomes into 100S ribosomes in stationary phase; 100S ribosomes are translationally inactive and sometimes present during exponential growth. 
1497679.EP56_00465	secA	837	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane
1497679.EP56_00470	prfB	338	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA
1497679.EP56_00475	EP56_00475	289	Membrane protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00480	ftsE	228	Part of the ABC transporter FtsEX involved in cellular division
1497679.EP56_00485	EP56_00485	295	Part of the ABC transporter FtsEX involved in asymmetric cellular division facilitating the initiation of sporulation. 
1497679.EP56_00490	EP56_00490	422	Peptidase P60; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00495	EP56_00495	456	Peptidase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00500	EP56_00500	483	Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol
1497679.EP56_00505	EP56_00505	390	Membrane protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00510	EP56_00510	237	Chemotaxis protein CheY; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00515	EP56_00515	590	ATPase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00520	EP56_00520	301	Phosphate ABC transporter substrate-binding protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00525	EP56_00525	306	Part of the binding-protein-dependent transport system for phosphate; probably responsible for the translocation of the substrate across the membrane
1497679.EP56_00530	EP56_00530	294	Phosphate transport system permease protein PstA; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00535	EP56_00535	266	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system
1497679.EP56_00540	pstB	257	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system
1497679.EP56_00545	EP56_00545	219	Plays a role in the regulation of phosphate uptake. 
1497679.EP56_00550	EP56_00550	131	Transcriptional regulator; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00555	EP56_00555	102	ArsR family transcriptional regulator; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00560	EP56_00560	695	Cadmium transporter; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00565	EP56_00565	127	Membrane protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00585	EP56_00585	359	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00595	cbiO	279	ATP-binding (A) component of a common energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates
1497679.EP56_00600	EP56_00600	290	ATP-binding (A) component of a common energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates
1497679.EP56_00605	ecfT	265	Transmembrane (T) component of an energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates
1497679.EP56_00610	truA	246	Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs
1497679.EP56_00615	rplM	145	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly. 
1497679.EP56_00620	rpsI	130	Belongs to the universal ribosomal protein uS9 family. 
1497679.EP56_00625	EP56_00625	189	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00635	lacD	338	Belongs to the aldolase LacD family
1497679.EP56_00640	EP56_00640	385	Penicillin-binding protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00645	EP56_00645	305	ABC transporter substrate-binding protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00650	EP56_00650	213	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00655	EP56_00655	102	Uncharacterized protein; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00660	EP56_00660	393	Aldehyde reductase; Derived by automated computational analysis using gene prediction method: Protein Homology
1497679.EP56_00665	EP56_00665	494	Peptide transporter; Derived by automated computational analysis using gene prediction method: Protein Homology
