#string_protein_id	preferred_name	protein_size	annotation
1197719.A464_1	A464_1	42	annotation not available
1197719.A464_10	yaaH	188	annotation not available
1197719.A464_100	A464_100	39	annotation not available
1197719.A464_1000	A464_1000	428	annotation not available
1197719.A464_1001	Gp7	96	annotation not available
1197719.A464_1002	A464_1002	107	annotation not available
1197719.A464_1003	A464_1003	114	annotation not available
1197719.A464_1004	A464_1004	129	annotation not available
1197719.A464_1005	A464_1005	133	annotation not available
1197719.A464_1006	A464_1006	157	annotation not available
1197719.A464_1007	A464_1007	120	annotation not available
1197719.A464_1008	A464_1008	1100	annotation not available
1197719.A464_1009	A464_1009	110	annotation not available
1197719.A464_101	yabN	552	annotation not available
1197719.A464_1010	A464_1010	231	annotation not available
1197719.A464_1011	A464_1011	117	annotation not available
1197719.A464_1012	A464_1012	211	annotation not available
1197719.A464_1013	A464_1013	168	annotation not available
1197719.A464_1014	A464_1014	1120	annotation not available
1197719.A464_1015	A464_1015	341	annotation not available
1197719.A464_1016	A464_1016	312	annotation not available
1197719.A464_1017	A464_1017	38	annotation not available
1197719.A464_1018	sboA_1	782	annotation not available
1197719.A464_1019	gipA	435	annotation not available
1197719.A464_102	A464_102	40	annotation not available
1197719.A464_1020	ybjQ_1	65	annotation not available
1197719.A464_1021	A464_1021	109	annotation not available
1197719.A464_1022	A464_1022	97	annotation not available
1197719.A464_1023	A464_1023	176	annotation not available
1197719.A464_1024	A464_1024	42	annotation not available
1197719.A464_1025	A464_1025	284	Uncharacterized protein; Involved in lipopolysaccharide biosynthesis
1197719.A464_1026	A464_1026	44	annotation not available
1197719.A464_1027	A464_1027	930	annotation not available
1197719.A464_1028	A464_1028	135	annotation not available
1197719.A464_1029	pipC	113	annotation not available
1197719.A464_103	setA_2	392	annotation not available
1197719.A464_1030	sopB	560	annotation not available
1197719.A464_1031	A464_1031	46	annotation not available
1197719.A464_1032	A464_1032	61	annotation not available
1197719.A464_1033	pipD	489	annotation not available
1197719.A464_1034	copS	448	Member of a two-component regulatory system. 
1197719.A464_1035	copR	226	annotation not available
1197719.A464_1036	hiuH	136	Belongs to the transthyretin family. 5-hydroxyisourate hydrolase subfamily
1197719.A464_1037	hpaC	170	annotation not available
1197719.A464_1038	hpaB	520	annotation not available
1197719.A464_1039	hpcR	146	annotation not available
1197719.A464_104	leuD	201	Catalyzes the isomerization between 2-isopropylmalate and 3- isopropylmalate, via the formation of 2-isopropylmaleate. 
1197719.A464_1040	A464_1040	41	annotation not available
1197719.A464_1041	hpaG	429	annotation not available
1197719.A464_1042	hpcC	488	Belongs to the aldehyde dehydrogenase family. 
1197719.A464_1043	hpcB	283	annotation not available
1197719.A464_1044	hpcD	126	annotation not available
1197719.A464_1045	hpcG	267	annotation not available
1197719.A464_1046	hpcH	263	Belongs to the HpcH/HpaI aldolase family. 
1197719.A464_1047	hpaX	458	annotation not available
1197719.A464_1048	hpaA	298	annotation not available
1197719.A464_1049	rnz	312	annotation not available
1197719.A464_105	leuC	466	Catalyzes the isomerization between 2-isopropylmalate and 3- isopropylmalate, via the formation of 2-isopropylmaleate. 
1197719.A464_1050	A464_1050	37	annotation not available
1197719.A464_1051	cbpM	101	Interacts with CbpA and inhibits both the DnaJ-like co- chaperone activity and the DNA binding activity of CbpA. Together with CbpA, modulates the activity of the DnaK chaperone system. Does not inhibit the co-chaperone activity of DnaJ
1197719.A464_1052	cbpA	306	annotation not available
1197719.A464_1053	scsB_2	628	annotation not available
1197719.A464_1054	scsC	207	annotation not available
1197719.A464_1055	scsD	168	annotation not available
1197719.A464_1056	agp_1	411	annotation not available
1197719.A464_1057	SBOV10341	75	annotation not available
1197719.A464_1058	wrbA	198	annotation not available
1197719.A464_1059	A464_1059	64	annotation not available
1197719.A464_106	leuB_2	363	annotation not available
1197719.A464_1060	rutR	212	annotation not available
1197719.A464_1061	A464_1061	131	annotation not available
1197719.A464_1062	putA	1320	Oxidizes proline to glutamate for use as a carbon and nitrogen source
1197719.A464_1063	putP	502	Catalyzes the sodium-dependent uptake of extracellular L- proline
1197719.A464_1064	sboL_2	586	annotation not available
1197719.A464_1065	sboK	758	annotation not available
1197719.A464_1066	phoH	262	annotation not available
1197719.A464_1067	ghrA_2	312	annotation not available
1197719.A464_1068	A464_1068	48	annotation not available
1197719.A464_1069	ycdX_1	245	annotation not available
1197719.A464_107	leuA_1	523	Belongs to the alpha-IPM synthase/homocitrate synthase family
1197719.A464_1070	ycdY_2	183	annotation not available
1197719.A464_1071	A464_1071	164	annotation not available
1197719.A464_1072	csgG_2	277	annotation not available
1197719.A464_1073	csgF_2	138	annotation not available
1197719.A464_1074	csgE	131	annotation not available
1197719.A464_1075	csgD	216	annotation not available
1197719.A464_1076	A464_1076	37	annotation not available
1197719.A464_1077	csgB	151	annotation not available
1197719.A464_1078	csgA	151	annotation not available
1197719.A464_1079	A464_1079	63	annotation not available
1197719.A464_108	A464_108	68	annotation not available
1197719.A464_1080	STY1184_1	179	annotation not available
1197719.A464_1081	ymdC	434	annotation not available
1197719.A464_1082	mdoC	384	annotation not available
1197719.A464_1083	mdoG_3	517	annotation not available
1197719.A464_1084	mdoH_2	847	annotation not available
1197719.A464_1085	A464_1085	67	annotation not available
1197719.A464_1086	msyB	124	annotation not available
1197719.A464_1087	yceE_2	404	annotation not available
1197719.A464_1088	A464_1088	60	annotation not available
1197719.A464_1089	htrB_2	306	Catalyzes the transfer of laurate from lauroyl-acyl carrier protein (ACP) to Kdo(2)-lipid IV(A) to form Kdo(2)-(lauroyl)-lipid IV(A)
1197719.A464_109	A464_109	47	annotation not available
1197719.A464_1090	moeZ	350	annotation not available
1197719.A464_1091	yceI_2	191	annotation not available
1197719.A464_1092	yceJ	192	annotation not available
1197719.A464_1093	A464_1093	53	annotation not available
1197719.A464_1094	solA_1	372	annotation not available
1197719.A464_1095	bssS	82	annotation not available
1197719.A464_1096	A464_1096	81	annotation not available
1197719.A464_1097	pyrC	348	Catalyzes the reversible cyclization of carbamoyl aspartate to dihydroorotate
