#string_protein_id	preferred_name	protein_size	annotation
1367491.BN865_00005c	mcp4_2	545	annotation not available
1367491.BN865_00010c	CDG56267.1	255	annotation not available
1367491.BN865_00020c	CDG56268.1	407	annotation not available
1367491.BN865_00030	yigZ	194	annotation not available
1367491.BN865_00040c	CDG56270.1	125	annotation not available
1367491.BN865_00050c	CDG56271.1	110	annotation not available
1367491.BN865_00060c	yheS	525	annotation not available
1367491.BN865_00070	CDG56273.1	316	annotation not available
1367491.BN865_00080c	yceI	190	Belongs to the UPF0312 family. 
1367491.BN865_00090c	CDG56275.1	124	annotation not available
1367491.BN865_00100	CDG56276.1	225	annotation not available
1367491.BN865_00110c	hcpC	234	Hydrolyzes 6-aminopenicillinic acid and 7- aminocephalosporanic acid (ACA) derivatives. 
1367491.BN865_00120c	CDG56278.1	512	annotation not available
1367491.BN865_00130c	CDG56279.1	728	annotation not available
1367491.BN865_00140c	frdB	241	Belongs to the succinate dehydrogenase/fumarate reductase iron-sulfur protein family
1367491.BN865_00150c	frdA	663	annotation not available
1367491.BN865_00160c	frdC	261	annotation not available
1367491.BN865_00170c	lgt	271	Catalyzes the transfer of the diacylglyceryl group from phosphatidylglycerol to the sulfhydryl group of the N-terminal cysteine of a prolipoprotein, the first step in the formation of mature lipoproteins
1367491.BN865_00180	CDG56284.1	295	annotation not available
1367491.BN865_00190c	aroE	263	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)
1367491.BN865_00200c	CDG56286.1	279	annotation not available
1367491.BN865_00210c	CDG56287.1	157	annotation not available
1367491.BN865_00220c	CDG56288.1	156	annotation not available
1367491.BN865_00230c	glyA	242	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF-independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism
1367491.BN865_00240c	lysS	502	Belongs to the class-II aminoacyl-tRNA synthetase family. 
1367491.BN865_00250c	fur	156	Belongs to the Fur family
1367491.BN865_00260c	CDG56292.1	186	annotation not available
1367491.BN865_00270c	gatC	95	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp-tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl- tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp- tRNA(Asn) or phospho-Glu-tRNA(Gln)
1367491.BN865_00280	CDG56294.1	192	annotation not available
1367491.BN865_00290	pgbB	289	annotation not available
1367491.BN865_00300	CDG56296.1	95	annotation not available
1367491.BN865_00310	coaX	209	Catalyzes the phosphorylation of pantothenate (Pan), the first step in CoA biosynthesis
1367491.BN865_00320	mqo	448	annotation not available
1367491.BN865_00330	pyk	480	Belongs to the pyruvate kinase family. 
1367491.BN865_00340	CDG56300.1	208	annotation not available
1367491.BN865_00350c	BN865_00350c	819	annotation not available
1367491.BN865_00360c	serS	411	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L- seryl-tRNA(Sec), which will be further converted into selenocysteinyl- tRNA(Sec)
1367491.BN865_00370c	trpS	319	Catalyzes the attachment of tryptophan to tRNA(Trp). 
1367491.BN865_00380c	aroK	164	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate
1367491.BN865_00390c	der	398	GTPase that plays an essential role in the late steps of ribosome biogenesis
1367491.BN865_00400c	CDG56306.1	69	annotation not available
1367491.BN865_00410	CDG56307.1	310	annotation not available
1367491.BN865_00420	kdsA	270	Belongs to the KdsA family
1367491.BN865_00430	ribH	154	Catalyzes the formation of 6,7-dimethyl-8-ribityllumazine by condensation of 5-amino-6-(D-ribitylamino)uracil with 3,4-dihydroxy-2- butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin
1367491.BN865_00440	nusB	132	Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons. 
1367491.BN865_00450	pyrF	279	Catalyzes the decarboxylation of orotidine 5'-monophosphate (OMP) to uridine 5'-monophosphate (UMP)
1367491.BN865_00460	CDG56312.1	259	annotation not available
