#string_protein_id	preferred_name	protein_size	annotation
1131269.AQVV01000001_gene1280	AQVV01000001_gene1280	66	annotation not available
1131269.AQVV01000001_gene1281	AQVV01000001_gene1281	318	annotation not available
1131269.AQVV01000001_gene1282	AQVV01000001_gene1282	107	annotation not available
1131269.AQVV01000001_gene1283	AQVV01000001_gene1283	94	annotation not available
1131269.AQVV01000001_gene1284	AQVV01000001_gene1284	142	annotation not available
1131269.AQVV01000001_gene1285	AQVV01000001_gene1285	179	annotation not available
1131269.AQVV01000001_gene1286	AQVV01000001_gene1286	150	annotation not available
1131269.AQVV01000001_gene1287	AQVV01000001_gene1287	298	annotation not available
1131269.AQVV01000001_gene1288	AQVV01000001_gene1288	245	annotation not available
1131269.AQVV01000001_gene1289	AQVV01000001_gene1289	87	annotation not available
1131269.AQVV01000001_gene1290	AQVV01000001_gene1290	138	annotation not available
1131269.AQVV01000001_gene1291	AQVV01000001_gene1291	117	annotation not available
1131269.AQVV01000001_gene1292	AQVV01000001_gene1292	63	annotation not available
1131269.AQVV01000001_gene1293	AQVV01000001_gene1293	141	annotation not available
1131269.AQVV01000001_gene1294	AQVV01000001_gene1294	195	annotation not available
1131269.AQVV01000001_gene1295	AQVV01000001_gene1295	322	annotation not available
1131269.AQVV01000001_gene1296	AQVV01000001_gene1296	158	annotation not available
1131269.AQVV01000001_gene1297	AQVV01000001_gene1297	162	annotation not available
1131269.AQVV01000001_gene1298	AQVV01000001_gene1298	887	annotation not available
1131269.AQVV01000001_gene1299	AQVV01000001_gene1299	307	annotation not available
1131269.AQVV01000001_gene1300	AQVV01000001_gene1300	226	annotation not available
1131269.AQVV01000001_gene1301	AQVV01000001_gene1301	66	annotation not available
1131269.AQVV01000001_gene1302	AQVV01000001_gene1302	41	annotation not available
1131269.AQVV01000001_gene1303	AQVV01000001_gene1303	771	annotation not available
1131269.AQVV01000001_gene1304	AQVV01000001_gene1304	79	annotation not available
1131269.AQVV01000001_gene1305	AQVV01000001_gene1305	481	annotation not available
1131269.AQVV01000001_gene1306	AQVV01000001_gene1306	140	annotation not available
1131269.AQVV01000001_gene1307	AQVV01000001_gene1307	523	annotation not available
1131269.AQVV01000001_gene1308	AQVV01000001_gene1308	157	annotation not available
1131269.AQVV01000001_gene1309	AQVV01000001_gene1309	118	annotation not available
1131269.AQVV01000001_gene1310	AQVV01000001_gene1310	109	annotation not available
1131269.AQVV01000001_gene1311	AQVV01000001_gene1311	696	annotation not available
1131269.AQVV01000001_gene1312	AQVV01000001_gene1312	440	annotation not available
1131269.AQVV01000001_gene1313	AQVV01000001_gene1313	592	annotation not available
1131269.AQVV01000001_gene1314	AQVV01000001_gene1314	242	annotation not available
1131269.AQVV01000001_gene1315	AQVV01000001_gene1315	143	annotation not available
1131269.AQVV01000001_gene1316	AQVV01000001_gene1316	163	annotation not available
1131269.AQVV01000001_gene1317	AQVV01000001_gene1317	412	annotation not available
1131269.AQVV01000001_gene1318	AQVV01000001_gene1318	218	annotation not available
1131269.AQVV01000001_gene1319	AQVV01000001_gene1319	358	annotation not available
1131269.AQVV01000001_gene1320	AQVV01000001_gene1320	800	annotation not available
1131269.AQVV01000001_gene1321	AQVV01000001_gene1321	212	annotation not available
1131269.AQVV01000001_gene1322	AQVV01000001_gene1322	419	annotation not available
1131269.AQVV01000001_gene1323	AQVV01000001_gene1323	409	annotation not available
1131269.AQVV01000001_gene1324	AQVV01000001_gene1324	161	annotation not available
1131269.AQVV01000001_gene1325	AQVV01000001_gene1325	222	annotation not available
1131269.AQVV01000001_gene1326	AQVV01000001_gene1326	125	annotation not available
1131269.AQVV01000001_gene1327	AQVV01000001_gene1327	305	annotation not available
1131269.AQVV01000001_gene1328	AQVV01000001_gene1328	253	annotation not available
1131269.AQVV01000001_gene1329	AQVV01000001_gene1329	90	annotation not available
1131269.AQVV01000001_gene1330	AQVV01000001_gene1330	271	annotation not available
1131269.AQVV01000001_gene1331	AQVV01000001_gene1331	364	annotation not available
1131269.AQVV01000001_gene1332	AQVV01000001_gene1332	696	annotation not available
1131269.AQVV01000001_gene1333	AQVV01000001_gene1333	357	annotation not available
1131269.AQVV01000001_gene1334	AQVV01000001_gene1334	260	annotation not available
1131269.AQVV01000001_gene1335	AQVV01000001_gene1335	89	annotation not available
1131269.AQVV01000001_gene1336	AQVV01000001_gene1336	242	annotation not available
1131269.AQVV01000001_gene1337	AQVV01000001_gene1337	412	annotation not available
1131269.AQVV01000001_gene1338	AQVV01000001_gene1338	235	annotation not available
1131269.AQVV01000001_gene1339	AQVV01000001_gene1339	132	annotation not available
1131269.AQVV01000001_gene1340	AQVV01000001_gene1340	327	annotation not available
1131269.AQVV01000001_gene1341	AQVV01000001_gene1341	187	annotation not available
1131269.AQVV01000001_gene1342	AQVV01000001_gene1342	110	annotation not available
1131269.AQVV01000001_gene1343	AQVV01000001_gene1343	344	annotation not available
1131269.AQVV01000001_gene1344	AQVV01000001_gene1344	80	annotation not available
1131269.AQVV01000001_gene1345	AQVV01000001_gene1345	577	annotation not available
1131269.AQVV01000001_gene1346	AQVV01000001_gene1346	320	annotation not available
1131269.AQVV01000001_gene1347	AQVV01000001_gene1347	449	annotation not available
1131269.AQVV01000001_gene1348	AQVV01000001_gene1348	665	annotation not available
1131269.AQVV01000001_gene1349	AQVV01000001_gene1349	433	annotation not available
1131269.AQVV01000001_gene1350	AQVV01000001_gene1350	226	annotation not available
1131269.AQVV01000001_gene1351	AQVV01000001_gene1351	172	annotation not available
1131269.AQVV01000001_gene1352	AQVV01000001_gene1352	363	annotation not available
1131269.AQVV01000001_gene1353	AQVV01000001_gene1353	56	annotation not available
1131269.AQVV01000001_gene1354	AQVV01000001_gene1354	359	annotation not available
1131269.AQVV01000001_gene1355	AQVV01000001_gene1355	506	annotation not available
1131269.AQVV01000001_gene1356	AQVV01000001_gene1356	491	annotation not available
1131269.AQVV01000001_gene1357	AQVV01000001_gene1357	291	annotation not available
1131269.AQVV01000001_gene1358	AQVV01000001_gene1358	312	annotation not available
1131269.AQVV01000001_gene1359	AQVV01000001_gene1359	569	annotation not available
1131269.AQVV01000001_gene1360	AQVV01000001_gene1360	27	annotation not available
1131269.AQVV01000001_gene1361	AQVV01000001_gene1361	435	annotation not available
1131269.AQVV01000001_gene1362	AQVV01000001_gene1362	668	annotation not available
1131269.AQVV01000001_gene1363	AQVV01000001_gene1363	456	annotation not available
1131269.AQVV01000001_gene1364	AQVV01000001_gene1364	498	annotation not available
1131269.AQVV01000001_gene1365	AQVV01000001_gene1365	66	annotation not available
1131269.AQVV01000001_gene1366	AQVV01000001_gene1366	152	annotation not available
1131269.AQVV01000001_gene1367	AQVV01000001_gene1367	72	annotation not available
1131269.AQVV01000001_gene1368	AQVV01000001_gene1368	172	annotation not available
1131269.AQVV01000001_gene1369	AQVV01000001_gene1369	554	annotation not available
1131269.AQVV01000001_gene1370	AQVV01000001_gene1370	78	annotation not available
1131269.AQVV01000001_gene1371	AQVV01000001_gene1371	133	annotation not available
1131269.AQVV01000001_gene1372	AQVV01000001_gene1372	239	annotation not available
1131269.AQVV01000001_gene1373	AQVV01000001_gene1373	327	annotation not available
1131269.AQVV01000001_gene1374	AQVV01000001_gene1374	161	annotation not available
1131269.AQVV01000001_gene1375	AQVV01000001_gene1375	209	annotation not available
1131269.AQVV01000001_gene1376	AQVV01000001_gene1376	668	annotation not available
1131269.AQVV01000001_gene1377	AQVV01000001_gene1377	195	annotation not available
1131269.AQVV01000001_gene1378	AQVV01000001_gene1378	217	annotation not available
1131269.AQVV01000001_gene1379	AQVV01000001_gene1379	455	annotation not available
1131269.AQVV01000001_gene1380	AQVV01000001_gene1380	106	annotation not available
1131269.AQVV01000001_gene1381	AQVV01000001_gene1381	578	annotation not available
1131269.AQVV01000001_gene1382	AQVV01000001_gene1382	569	annotation not available
1131269.AQVV01000001_gene1383	AQVV01000001_gene1383	177	annotation not available
1131269.AQVV01000001_gene1384	AQVV01000001_gene1384	518	annotation not available
1131269.AQVV01000001_gene1385	AQVV01000001_gene1385	777	annotation not available
1131269.AQVV01000001_gene1386	AQVV01000001_gene1386	114	annotation not available
1131269.AQVV01000001_gene1387	AQVV01000001_gene1387	313	annotation not available
1131269.AQVV01000001_gene1388	AQVV01000001_gene1388	89	annotation not available
1131269.AQVV01000001_gene1389	AQVV01000001_gene1389	699	annotation not available
1131269.AQVV01000001_gene1390	AQVV01000001_gene1390	251	annotation not available
1131269.AQVV01000001_gene1391	AQVV01000001_gene1391	195	annotation not available
1131269.AQVV01000001_gene1392	AQVV01000001_gene1392	254	annotation not available
