#string_protein_id	preferred_name	protein_size	annotation
1121377.KB906398_gene1941	KB906398_gene1941	82	annotation not available
1121377.KB906398_gene1942	KB906398_gene1942	76	annotation not available
1121377.KB906398_gene1943	KB906398_gene1943	138	annotation not available
1121377.KB906398_gene1944	KB906398_gene1944	29	annotation not available
1121377.KB906398_gene1945	KB906398_gene1945	130	annotation not available
1121377.KB906398_gene1946	KB906398_gene1946	224	annotation not available
1121377.KB906398_gene1947	KB906398_gene1947	89	annotation not available
1121377.KB906398_gene1948	KB906398_gene1948	76	annotation not available
1121377.KB906398_gene1949	KB906398_gene1949	69	annotation not available
1121377.KB906398_gene1950	KB906398_gene1950	234	annotation not available
1121377.KB906398_gene1951	KB906398_gene1951	88	annotation not available
1121377.KB906398_gene1952	KB906398_gene1952	273	annotation not available
1121377.KB906398_gene1953	KB906398_gene1953	582	annotation not available
1121377.KB906398_gene1954	KB906398_gene1954	282	annotation not available
1121377.KB906398_gene1955	KB906398_gene1955	154	annotation not available
1121377.KB906398_gene1956	KB906398_gene1956	139	annotation not available
1121377.KB906398_gene1957	KB906398_gene1957	125	annotation not available
1121377.KB906398_gene1958	KB906398_gene1958	85	annotation not available
1121377.KB906398_gene1959	KB906398_gene1959	86	annotation not available
1121377.KB906398_gene1960	KB906398_gene1960	116	annotation not available
1121377.KB906398_gene1961	KB906398_gene1961	261	annotation not available
1121377.KB906398_gene1962	KB906398_gene1962	122	annotation not available
1121377.KB906398_gene1963	KB906398_gene1963	65	annotation not available
1121377.KB906398_gene1964	KB906398_gene1964	166	annotation not available
1121377.KB906398_gene1965	KB906398_gene1965	56	annotation not available
1121377.KB906398_gene1966	KB906398_gene1966	211	annotation not available
1121377.KB906398_gene1967	KB906398_gene1967	144	annotation not available
1121377.KB906398_gene1968	KB906398_gene1968	149	annotation not available
1121377.KB906398_gene1969	KB906398_gene1969	124	annotation not available
1121377.KB906398_gene1970	KB906398_gene1970	521	annotation not available
1121377.KB906398_gene1971	KB906398_gene1971	155	annotation not available
1121377.KB906398_gene1972	KB906398_gene1972	316	annotation not available
1121377.KB906398_gene1973	KB906398_gene1973	163	annotation not available
1121377.KB906398_gene1974	KB906398_gene1974	101	annotation not available
1121377.KB906398_gene1975	KB906398_gene1975	134	annotation not available
1121377.KB906398_gene1976	KB906398_gene1976	550	annotation not available
1121377.KB906398_gene1977	KB906398_gene1977	477	annotation not available
1121377.KB906398_gene1978	KB906398_gene1978	124	annotation not available
1121377.KB906398_gene1979	KB906398_gene1979	725	annotation not available
1121377.KB906398_gene1980	KB906398_gene1980	209	annotation not available
1121377.KB906398_gene1981	KB906398_gene1981	524	annotation not available
1121377.KB906398_gene1982	KB906398_gene1982	2458	annotation not available
1121377.KB906398_gene1983	KB906398_gene1983	193	annotation not available
1121377.KB906398_gene1984	KB906398_gene1984	61	annotation not available
1121377.KB906398_gene1985	KB906398_gene1985	163	annotation not available
1121377.KB906398_gene1986	KB906398_gene1986	165	annotation not available
1121377.KB906398_gene1987	KB906398_gene1987	105	annotation not available
1121377.KB906398_gene1988	KB906398_gene1988	159	annotation not available
1121377.KB906398_gene1989	KB906398_gene1989	70	annotation not available
1121377.KB906398_gene1990	KB906398_gene1990	73	annotation not available
1121377.KB906398_gene1991	KB906398_gene1991	127	annotation not available
1121377.KB906398_gene1992	KB906398_gene1992	259	annotation not available
1121377.KB906398_gene1993	KB906398_gene1993	142	annotation not available
1121377.KB906398_gene1994	KB906398_gene1994	158	annotation not available
1121377.KB906398_gene1995	KB906398_gene1995	365	annotation not available
1121377.KB906398_gene1996	KB906398_gene1996	115	annotation not available
1121377.KB906398_gene1997	KB906398_gene1997	478	annotation not available
1121377.KB906398_gene1998	KB906398_gene1998	479	annotation not available
1121377.KB906398_gene1999	KB906398_gene1999	502	annotation not available
1121377.KB906398_gene2000	KB906398_gene2000	249	annotation not available
1121377.KB906398_gene2001	KB906398_gene2001	124	annotation not available
1121377.KB906398_gene2002	KB906398_gene2002	66	annotation not available
1121377.KB906398_gene2003	KB906398_gene2003	50	annotation not available
1121377.KB906398_gene2004	KB906398_gene2004	77	annotation not available
1121377.KB906398_gene2005	KB906398_gene2005	66	annotation not available
1121377.KB906398_gene2006	KB906398_gene2006	72	annotation not available
1121377.KB906398_gene2007	KB906398_gene2007	103	annotation not available
1121377.KB906398_gene2008	KB906398_gene2008	318	annotation not available
1121377.KB906398_gene2009	KB906398_gene2009	394	annotation not available
1121377.KB906398_gene2010	KB906398_gene2010	53	annotation not available
1121377.KB906398_gene2011	KB906398_gene2011	229	annotation not available
1121377.KB906398_gene2012	KB906398_gene2012	71	annotation not available
1121377.KB906398_gene2013	KB906398_gene2013	202	annotation not available
1121377.KB906398_gene2014	KB906398_gene2014	432	annotation not available
1121377.KB906398_gene2015	KB906398_gene2015	315	annotation not available
1121377.KB906398_gene2016	KB906398_gene2016	501	annotation not available
1121377.KB906398_gene2017	KB906398_gene2017	326	annotation not available
1121377.KB906398_gene2018	KB906398_gene2018	106	annotation not available
1121377.KB906398_gene2019	KB906398_gene2019	130	annotation not available
1121377.KB906398_gene2020	KB906398_gene2020	137	annotation not available
1121377.KB906398_gene2021	KB906398_gene2021	116	annotation not available
1121377.KB906398_gene2022	KB906398_gene2022	470	annotation not available
1121377.KB906398_gene2023	KB906398_gene2023	266	annotation not available
1121377.KB906398_gene2024	KB906398_gene2024	280	annotation not available
1121377.KB906398_gene2025	KB906398_gene2025	98	annotation not available
1121377.KB906398_gene2026	KB906398_gene2026	171	annotation not available
1121377.KB906398_gene2027	KB906398_gene2027	651	annotation not available
1121377.KB906398_gene2028	KB906398_gene2028	478	annotation not available
1121377.KB906398_gene2029	KB906398_gene2029	92	annotation not available
1121377.KB906398_gene2030	KB906398_gene2030	395	annotation not available
1121377.KB906398_gene2031	KB906398_gene2031	429	annotation not available
1121377.KB906398_gene2032	KB906398_gene2032	183	annotation not available
1121377.KB906398_gene2033	KB906398_gene2033	66	annotation not available
1121377.KB906398_gene2034	KB906398_gene2034	96	annotation not available
1121377.KB906398_gene2035	KB906398_gene2035	128	annotation not available
1121377.KB906398_gene2036	KB906398_gene2036	118	annotation not available
1121377.KB906398_gene2037	KB906398_gene2037	226	annotation not available
1121377.KB906398_gene2038	KB906398_gene2038	95	annotation not available
1121377.KB906398_gene2039	KB906398_gene2039	131	annotation not available
1121377.KB906398_gene2040	KB906398_gene2040	256	annotation not available
1121377.KB906398_gene2041	KB906398_gene2041	235	annotation not available
1121377.KB906398_gene2042	KB906398_gene2042	100	annotation not available
1121377.KB906398_gene2043	KB906398_gene2043	253	annotation not available
1121377.KB906398_gene2044	KB906398_gene2044	283	annotation not available
1121377.KB906398_gene2045	KB906398_gene2045	133	annotation not available
1121377.KB906398_gene2046	KB906398_gene2046	424	annotation not available
1121377.KB906398_gene2047	KB906398_gene2047	604	annotation not available
1121377.KB906398_gene2048	KB906398_gene2048	102	annotation not available
1121377.KB906398_gene2049	KB906398_gene2049	466	annotation not available
1121377.KB906398_gene2050	KB906398_gene2050	149	annotation not available
1121377.KB906398_gene2051	KB906398_gene2051	125	annotation not available
1121377.KB906398_gene2052	KB906398_gene2052	322	annotation not available
1121377.KB906398_gene2053	KB906398_gene2053	220	annotation not available
1121377.KB906398_gene2054	KB906398_gene2054	187	annotation not available
1121377.KB906398_gene2055	KB906398_gene2055	153	annotation not available
1121377.KB906398_gene2056	KB906398_gene2056	288	annotation not available
1121377.KB906398_gene2057	KB906398_gene2057	164	annotation not available
1121377.KB906398_gene2058	KB906398_gene2058	113	annotation not available
1121377.KB906398_gene2059	KB906398_gene2059	678	annotation not available
1121377.KB906398_gene2060	KB906398_gene2060	370	annotation not available
1121377.KB906398_gene2061	KB906398_gene2061	436	annotation not available
1121377.KB906398_gene2062	KB906398_gene2062	287	annotation not available
1121377.KB906398_gene2063	KB906398_gene2063	297	annotation not available
1121377.KB906398_gene2064	KB906398_gene2064	660	annotation not available
1121377.KB906398_gene2065	KB906398_gene2065	997	annotation not available
1121377.KB906398_gene2066	KB906398_gene2066	235	annotation not available
1121377.KB906398_gene2067	KB906398_gene2067	229	annotation not available
1121377.KB906398_gene2068	KB906398_gene2068	145	annotation not available
1121377.KB906398_gene2069	KB906398_gene2069	265	annotation not available
1121377.KB906398_gene2070	KB906398_gene2070	231	annotation not available
1121377.KB906398_gene2071	KB906398_gene2071	58	annotation not available
1121377.KB906398_gene2072	KB906398_gene2072	263	annotation not available
1121377.KB906398_gene2073	KB906398_gene2073	215	annotation not available
1121377.KB906398_gene2074	KB906398_gene2074	181	annotation not available
1121377.KB906398_gene2075	KB906398_gene2075	435	annotation not available
1121377.KB906398_gene2076	KB906398_gene2076	209	annotation not available
1121377.KB906398_gene2077	KB906398_gene2077	637	annotation not available
1121377.KB906398_gene2078	KB906398_gene2078	338	annotation not available
1121377.KB906398_gene2079	KB906398_gene2079	148	annotation not available
1121377.KB906398_gene2080	KB906398_gene2080	136	annotation not available
1121377.KB906398_gene2081	KB906398_gene2081	114	annotation not available
1121377.KB906398_gene2082	KB906398_gene2082	103	annotation not available
1121377.KB906398_gene2083	KB906398_gene2083	387	annotation not available
1121377.KB906398_gene2084	KB906398_gene2084	267	annotation not available
1121377.KB906398_gene2085	KB906398_gene2085	92	annotation not available
1121377.KB906398_gene2086	KB906398_gene2086	428	annotation not available
1121377.KB906398_gene2087	KB906398_gene2087	553	annotation not available
1121377.KB906398_gene2088	KB906398_gene2088	127	annotation not available
1121377.KB906398_gene2089	KB906398_gene2089	199	annotation not available
1121377.KB906398_gene2090	KB906398_gene2090	119	annotation not available
1121377.KB906398_gene2091	KB906398_gene2091	536	annotation not available
1121377.KB906398_gene2092	KB906398_gene2092	149	annotation not available
1121377.KB906398_gene2093	KB906398_gene2093	122	annotation not available
1121377.KB906398_gene2094	KB906398_gene2094	284	annotation not available
1121377.KB906398_gene2095	KB906398_gene2095	365	annotation not available
1121377.KB906398_gene2096	KB906398_gene2096	156	annotation not available
1121377.KB906398_gene2097	KB906398_gene2097	504	annotation not available
1121377.KB906398_gene2098	KB906398_gene2098	190	annotation not available
1121377.KB906398_gene2099	KB906398_gene2099	375	annotation not available
1121377.KB906398_gene2100	KB906398_gene2100	205	annotation not available
1121377.KB906398_gene2101	KB906398_gene2101	351	annotation not available
1121377.KB906398_gene2102	KB906398_gene2102	263	annotation not available
1121377.KB906398_gene2103	KB906398_gene2103	824	annotation not available
1121377.KB906398_gene2104	KB906398_gene2104	159	annotation not available
1121377.KB906398_gene2105	KB906398_gene2105	155	annotation not available
1121377.KB906398_gene2106	KB906398_gene2106	119	annotation not available
1121377.KB906398_gene2107	KB906398_gene2107	485	annotation not available
1121377.KB906398_gene2108	KB906398_gene2108	600	annotation not available
1121377.KB906398_gene2109	KB906398_gene2109	26	annotation not available
1121377.KB906398_gene2110	KB906398_gene2110	547	annotation not available
1121377.KB906398_gene2111	KB906398_gene2111	412	annotation not available
1121377.KB906398_gene2112	KB906398_gene2112	261	annotation not available
1121377.KB906398_gene2113	KB906398_gene2113	318	annotation not available
1121377.KB906398_gene2114	KB906398_gene2114	705	annotation not available
1121377.KB906398_gene2115	KB906398_gene2115	247	annotation not available
1121377.KB906398_gene2116	KB906398_gene2116	251	annotation not available
1121377.KB906398_gene2117	KB906398_gene2117	419	annotation not available
1121377.KB906398_gene2118	KB906398_gene2118	869	annotation not available
1121377.KB906398_gene2119	KB906398_gene2119	96	annotation not available
1121377.KB906398_gene2120	KB906398_gene2120	62	annotation not available
1121377.KB906398_gene2121	KB906398_gene2121	37	annotation not available
