#string_protein_id	preferred_name	protein_size	annotation
321327.CYA_0001	dnaA	467	Plays an important role in the initiation and regulation of chromosomal replication. Binds to the origin of replication; it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box): 5'- TTATC[CA]A[CA]A-3'. DnaA binds to ATP and to acidic phospholipids. 
321327.CYA_0002	CYA_0002	273	Conserved domain protein; Identified by similarity to GB:AAS82375.1
321327.CYA_0003	CYA_0003	229	annotation not available
321327.CYA_0004	ftsH	628	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins
321327.CYA_0005	Oxidoreductase	291	Belongs to the short-chain dehydrogenases/reductases (SDR) family
321327.CYA_0006	CYA_0006	37	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0007	CYA_0007	221	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0008	CYA_0008	849	DNA topoisomerase (ATP-hydrolyzing); Identified by match to protein family HMM PF00521; match to protein family HMM PF03989
321327.CYA_0009	CYA_0009	467	Identified by match to protein family HMM PF00408; match to protein family HMM PF02878; match to protein family HMM PF02879; match to protein family HMM PF02880
321327.CYA_0010	CYA_0010	130	Identified by match to protein family HMM PF00903
321327.CYA_0011	thiC	455	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction. 
321327.CYA_0012	CYA_0012	244	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0013	CYA_0013	246	annotation not available
321327.CYA_0014	CYA_0014	154	Identified by match to protein family HMM PF05419
321327.CYA_0015	CYA_0015	175	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0016	gvpW	254	Gas vesicle protein W; Identified by similarity to GB:CAE11909.1
321327.CYA_0017	surE-1	243	Acid phosphatase SurE; Identified by match to protein family HMM PF01975; match to protein family HMM TIGR00087
321327.CYA_0018	CYA_0018	206	annotation not available
321327.CYA_0019	folK	168	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase; Identified by match to protein family HMM PF01288; match to protein family HMM TIGR01498
321327.CYA_0020	gap-1	343	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
321327.CYA_0021	folB	123	Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin
321327.CYA_0022	folP	289	Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8- dihydropteroate (H2Pte), the immediate precursor of folate derivatives. 
321327.CYA_0023	CYA_0023	35	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0024	ychF	363	ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner. 
321327.CYA_0025	rumA	464	Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
321327.CYA_0026	CYA_0026	387	Identified by match to protein family HMM PF04932
321327.CYA_0027	Ferredoxin	121	Ferredoxin, 2Fe-2S; Identified by match to protein family HMM PF00111; match to protein family HMM TIGR02008
321327.CYA_0028	CYA_0028	150	Putative mannose-6-phosphate isomerase; Identified by match to protein family HMM PF01050; match to protein family HMM PF07883
321327.CYA_0029	Peptidase	793	Peptidase, M48B family; Identified by match to protein family HMM PF01435
321327.CYA_0030	CYA_0030	148	Belongs to the Fur family
321327.CYA_0031	CYA_0031	126	Uncharacterized protein; Identified by similarity to PIR:AC2234
321327.CYA_0032	CYA_0032	424	Putative D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase; Identified by match to protein family HMM PF02113
321327.CYA_0034	CYA_0034	217	Identified by match to protein family HMM PF01169
321327.CYA_0035	psaL-1	156	Photosystem I reaction center subunit XI; Identified by match to protein family HMM PF02605
321327.CYA_0036	psaI	37	May help in the organization of the PsaL subunit. 
321327.CYA_0037	ISSoc4	132	ISSoc4, transposase orfA; Identified by similarity to PIR:AD2038
321327.CYA_0038	CYA_0038	183	ISSoc4, transposase orfB; Identified by similarity to PIR:AI1851
321327.CYA_0039	CYA_0039	488	annotation not available
321327.CYA_0040	CYA_0040	97	annotation not available
321327.CYA_0041	CYA_0041	484	Putative transporter, bacteriochlorophyll delivery (BCD) family; Identified by similarity to SP:P23462; match to protein family HMM PF03209; match to protein family HMM PF07690
321327.CYA_0042	CYA_0042	702	WD domain, G-beta repeat protein; Identified by match to protein family HMM PF00400
321327.CYA_0043	CYA_0043	432	Amine oxidase, flavin-containing; Identified by match to protein family HMM PF01266; match to protein family HMM PF01593
321327.CYA_0044	CYA_0044	223	annotation not available
321327.CYA_0045	CYA_0045	264	annotation not available
321327.CYA_0046	trmU	370	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34
321327.CYA_0047	CYA_0047	240	PBS lyase HEAT-like repeat protein; Identified by match to protein family HMM PF03130
321327.CYA_0048	CYA_0048	304	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0049	CYA_0049	185	Uncharacterized protein; Identified by similarity to GB:BAC89600.1
321327.CYA_0050	CYA_0050	309	TPR repeat protein; Identified by match to protein family HMM PF00515; match to protein family HMM PF07719
321327.CYA_0051	CYA_0051	370	Oligopeptide ABC transporter, permease protein; Identified by similarity to SP:P42063; match to protein family HMM PF00528
321327.CYA_0052	CYA_0052	166	Uncharacterized protein; Identified by similarity to PIR:AE2426
321327.CYA_0053	ABC98286.1	315	Identified by similarity to GB:AAC97588.1
321327.CYA_0054	CYA_0054	350	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0055	selD	352	Synthesizes selenophosphate from selenide and ATP. 
321327.CYA_0056	CYA_0056	91	Identified by match to protein family HMM PF05768
321327.CYA_0057	dnaE	1161	DNA-directed DNA polymerase; Identified by similarity to SP:O34623; match to protein family HMM PF01336; match to protein family HMM PF02811; match to protein family HMM PF07733; match to protein family HMM TIGR00594
321327.CYA_0058	Hydrolase	275	Hydrolase, carbon-nitrogen family; Identified by match to protein family HMM PF00795
321327.CYA_0059	CYA_0059	73	annotation not available
321327.CYA_0060	CYA_0060	247	annotation not available
321327.CYA_0061	CYA_0061	193	Belongs to the sigma-70 factor family. ECF subfamily. 
321327.CYA_0062	CYA_0062	268	annotation not available
321327.CYA_0063	CYA_0063	38	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0064	CYA_0064	260	Putative membrane protein; Identified by match to protein family HMM PF06182
321327.CYA_0065	CYA_0065	247	Uncharacterized protein; Identified by similarity to PIR:AB2146
321327.CYA_0066	CYA_0066	161	FHA domain protein; Identified by match to protein family HMM PF00498
321327.CYA_0068	ISSoc3	158	Identified by match to protein family HMM PF01797
321327.CYA_0069	CYA_0069	213	Uncharacterized protein; Identified by similarity to PIR:AH1812
321327.CYA_0070	CYA_0070	296	annotation not available
321327.CYA_0072	chlP	406	Geranylgeranyl reductase; Identified by match to protein family HMM PF01494; match to protein family HMM TIGR02023; match to protein family HMM TIGR02028; match to protein family HMM TIGR02032
321327.CYA_0073	CYA_0073	281	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0074	secD	448	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
321327.CYA_0075	secF	331	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
321327.CYA_0076	CYA_0076	589	annotation not available
321327.CYA_0077	murF	445	Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein
321327.CYA_0078	CYA_0078	73	Uncharacterized protein; Identified by similarity to GB:BAC90887.1
321327.CYA_0079	CYA_0079	178	Fasciclin domain protein; Identified by match to protein family HMM PF02469
321327.CYA_0080	CYA_0080	148	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0081	miaA	340	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A)
321327.CYA_0082	menD	597	Catalyzes the thiamine diphosphate-dependent decarboxylation of 2-oxoglutarate and the subsequent addition of the resulting succinic semialdehyde-thiamine pyrophosphate anion to isochorismate to yield 2- succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate (SEPHCHC). 
321327.CYA_0083	CYA_0083	273	Uncharacterized protein; Identified by similarity to GB:BAC90495.1
321327.CYA_0084	rpe	236	Belongs to the ribulose-phosphate 3-epimerase family. 
321327.CYA_0085	CYA_0085	61	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0086	CYA_0086	136	Identified by match to protein family HMM PF00903
321327.CYA_0087	uppP	276	Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin
321327.CYA_0088	nnrE	528	Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration.  Catalyzes the epimerization of the S- and R-forms of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. This is a prerequisite for the S-specific NAD(P)H-hydrate dehydratase to allow the repair of both epimers of NAD(P)HX
321327.CYA_0089	CYA_0089	206	Uncharacterized protein; Identified by similarity to GB:BAC92187.1
321327.CYA_0090	psbZ	61	Controls the interaction of photosystem II (PSII) cores with the light-harvesting antenna
321327.CYA_0091	ISSoc1	393	ISSoc1, transposase; Identified by match to protein family HMM PF07282; match to protein family HMM TIGR01766
321327.CYA_0092	CYA_0092	230	Involved in the import of queuosine (Q) precursors, required for Q precursor salvage
321327.CYA_0093	CYA_0093	218	Response regulator; Identified by match to protein family HMM PF00072
321327.CYA_0094	Methyltransferase	372	Methyltransferase, UbiE/COQ5 family; Identified by match to protein family HMM PF01209
321327.CYA_0095	CYA_0095	164	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0096	CYA_0096	114	Uncharacterized protein; Identified by similarity to PIR:AH1833
321327.CYA_0097	Transporter	518	Transporter, major facilitator family; Identified by match to protein family HMM PF07690
321327.CYA_0098	CYA_0098	33	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0099	CYA_0099	396	Glycosyl transferase, group 1; Identified by match to protein family HMM PF00534
321327.CYA_0100	CYA_0100	498	GAF/SpoIIE domain protein; Identified by match to protein family HMM PF01590; match to protein family HMM PF07228
321327.CYA_0101	CYA_0101	35	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0102	CYA_0102	72	annotation not available
321327.CYA_0103	argH	489	Argininosuccinate lyase; Identified by match to protein family HMM PF00206; match to protein family HMM TIGR00838
321327.CYA_0104	CYA_0104	206	annotation not available
321327.CYA_0105	CYA_0105	83	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0106	CYA_0106	42	Uncharacterized protein; Identified by Glimmer2; putative
321327.CYA_0107	CYA_0107	375	Belongs to the UDP-N-acetylglucosamine 2-epimerase family. 
321327.CYA_0108	CYA_0108	82	Uncharacterized protein; Identified by Glimmer2; putative
