#string_protein_id	preferred_name	protein_size	annotation
204669.Acid345_0001	dnaA	461	Plays an important role in the initiation and regulation of chromosomal replication. Binds to the origin of replication; it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box): 5'- TTATC[CA]A[CA]A-3'. DnaA binds to ATP and to acidic phospholipids. 
204669.Acid345_0002	ABF39007.1	371	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP- independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria; Pol III exhibits 3'-5' exonuclease proofreading activity. The beta chain is required for initiation of replication as well as for proces [...] 
204669.Acid345_0003	Glucokinase	311	annotation not available
204669.Acid345_0004	ABF39009.1	349	annotation not available
204669.Acid345_0005	ABF39010.1	421	annotation not available
204669.Acid345_0006	mscL	138	Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell
204669.Acid345_0007	ABF39012.1	132	annotation not available
204669.Acid345_0008	gyrB	879	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner
204669.Acid345_0009	ABF39014.1	677	annotation not available
204669.Acid345_0010	ABF39015.1	145	annotation not available
204669.Acid345_0011	ABF39016.1	493	annotation not available
204669.Acid345_0012	ABF39017.1	382	annotation not available
204669.Acid345_0013	ABF39018.1	243	annotation not available
204669.Acid345_0014	ABF39019.1	137	annotation not available
204669.Acid345_0015	ABF39020.1	189	annotation not available
204669.Acid345_0016	ABF39021.1	318	annotation not available
204669.Acid345_0017	ABF39022.1	134	annotation not available
204669.Acid345_0018	rplU	131	This protein binds to 23S rRNA in the presence of protein L20
204669.Acid345_0019	rpmA	86	Belongs to the bacterial ribosomal protein bL27 family. 
204669.Acid345_0020	obg	365	An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control. 
204669.Acid345_0021	nadD	258	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD). 
204669.Acid345_0022	rsfS	163	Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation. 
204669.Acid345_0023	ABF39028.1	319	annotation not available
204669.Acid345_0024	rlmH	146	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA
204669.Acid345_0025	ABF39030.1	188	annotation not available
204669.Acid345_0026	ABF39031.1	249	annotation not available
204669.Acid345_0027	ABF39032.1	107	annotation not available
204669.Acid345_0028	rpmE	74	Binds the 23S rRNA
204669.Acid345_0029	ABF39034.1	93	annotation not available
204669.Acid345_0030	ABF39035.1	370	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines
204669.Acid345_0031	ABF39036.1	141	annotation not available
204669.Acid345_0032	ABF39037.1	99	annotation not available
204669.Acid345_0033	ABF39038.1	228	annotation not available
204669.Acid345_0034	ABF39039.1	99	annotation not available
204669.Acid345_0035	rsmI	287	Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA
204669.Acid345_0036	L-asparaginase	157	annotation not available
204669.Acid345_0037	ABF39042.1	750	annotation not available
204669.Acid345_0038	ABF39043.1	362	Outer membrane transport energization protein TonB; TC 2.C.1.1.1
204669.Acid345_0039	ABF39044.1	287	annotation not available
204669.Acid345_0040	ABF39045.1	298	Belongs to the ParB family. 
204669.Acid345_0041	ABF39046.1	273	annotation not available
204669.Acid345_0042	rsmG	219	Specifically methylates the N7 position of a guanine in 16S rRNA
204669.Acid345_0043	ABF39048.1	226	annotation not available
204669.Acid345_0044	ABF39049.1	151	annotation not available
204669.Acid345_0045	ABF39050.1	354	annotation not available
204669.Acid345_0046	ABF39051.1	481	Amino acid/polyamine/organocation transporter, APC superfamily; 2.A.3
204669.Acid345_0047	ABF39052.1	849	annotation not available
204669.Acid345_0048	ABF39053.1	268	annotation not available
204669.Acid345_0049	ABF39054.1	144	annotation not available
204669.Acid345_0050	ABF39055.1	310	annotation not available
204669.Acid345_0051	gltX1	518	Catalyzes the attachment of glutamate to tRNA(Glu) in a two- step reaction: glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu)
204669.Acid345_0052	ABF39057.1	115	annotation not available
204669.Acid345_0053	ABF39058.1	119	annotation not available
204669.Acid345_0054	ABF39059.1	117	annotation not available
204669.Acid345_0055	ABF39060.1	298	annotation not available
204669.Acid345_0056	ABF39061.1	747	Dipeptidyl-peptidase IV; Serine peptidase; MEROPS family S09B
204669.Acid345_0057	ABF39062.1	413	annotation not available
204669.Acid345_0058	ABF39063.1	93	annotation not available
204669.Acid345_0059	ABF39064.1	274	annotation not available
204669.Acid345_0060	ABF39065.1	260	annotation not available
204669.Acid345_0061	ABF39066.1	94	annotation not available
204669.Acid345_0062	tilS	464	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine. 
204669.Acid345_0063	Phosphoribosyltransferase	184	annotation not available
204669.Acid345_0064	ftsH	637	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins
204669.Acid345_0065	ABF39070.1	258	annotation not available
204669.Acid345_0066	ABF39071.1	395	annotation not available
204669.Acid345_0067	ABF39072.1	532	annotation not available
204669.Acid345_0068	ABF39073.1	89	annotation not available
204669.Acid345_0069	ABF39074.1	362	annotation not available
204669.Acid345_0070	ABF39075.1	392	annotation not available
204669.Acid345_0071	UspA	308	annotation not available
204669.Acid345_0072	ABF39077.1	934	annotation not available
204669.Acid345_0073	ABF39078.1	497	annotation not available
204669.Acid345_0074	ABF39079.1	224	Belongs to the ribulose-phosphate 3-epimerase family. 
204669.Acid345_0075	ABF39080.1	116	annotation not available
204669.Acid345_0076	ABF39081.1	128	annotation not available
204669.Acid345_0077	ABF39082.1	150	Outer membrane transport energization protein TonB; TC 2.C.1.1.1
204669.Acid345_0078	ABF39083.1	226	annotation not available
204669.Acid345_0079	ABF39084.1	247	annotation not available
204669.Acid345_0080	mnmG	649	NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34
204669.Acid345_0081	DinB	164	annotation not available
204669.Acid345_0082	ABF39087.1	98	Belongs to the bacterial histone-like protein family. 
204669.Acid345_0083	ABF39088.1	164	annotation not available
204669.Acid345_0084	ABF39089.1	241	annotation not available
204669.Acid345_0085	lpxC	292	Catalyzes the hydrolysis of UDP-3-O-myristoyl-N- acetylglucosamine to form UDP-3-O-myristoylglucosamine and acetate, the committed step in lipid A biosynthesis
204669.Acid345_0086	ABF39091.1	513	annotation not available
204669.Acid345_0087	ABF39092.1	167	annotation not available
204669.Acid345_0088	ABF39093.1	211	annotation not available
204669.Acid345_0089	ABF39094.1	88	annotation not available
204669.Acid345_0090	Metallophosphoesterase	263	annotation not available
204669.Acid345_0091	ABF39096.1	325	Belongs to the ABC transporter superfamily. 
204669.Acid345_0092	ABF39097.1	142	annotation not available
204669.Acid345_0093	ThiJ/PfpI	231	annotation not available
204669.Acid345_0094	ABF39099.1	454	annotation not available
204669.Acid345_0095	ABF39100.1	168	annotation not available
204669.Acid345_0096	ABF39101.1	264	annotation not available
204669.Acid345_0097	ABF39102.1	173	annotation not available
204669.Acid345_0098	ABF39103.1	1223	annotation not available
204669.Acid345_0099	ABF39104.1	320	annotation not available
204669.Acid345_0100	ABF39105.1	433	annotation not available
204669.Acid345_0101	ABF39106.1	808	annotation not available
204669.Acid345_0102	ABF39107.1	167	annotation not available
204669.Acid345_0103	ABF39108.1	108	annotation not available
204669.Acid345_0104	GatB/Yqey	150	annotation not available
204669.Acid345_0105	ABF39110.1	1478	annotation not available
204669.Acid345_0106	ABF39111.1	131	Catalyzes the decarboxylation of S-adenosylmethionine to S- adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine
204669.Acid345_0107	ABF39112.1	210	annotation not available
204669.Acid345_0108	ABF39113.1	440	annotation not available
204669.Acid345_0109	ABF39114.1	60	annotation not available
204669.Acid345_0110	ABF39115.1	70	annotation not available
