#string_protein_id	preferred_name	protein_size	annotation
4932.Q0010	Q0010	128	Putative uncharacterized protein Q0010, mitochondrial; Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0017
4932.Q0017	Q0017	53	Putative uncharacterized protein Q0017, mitochondrial; Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0010
4932.Q0032	Q0032	96	Putative uncharacterized protein Q0032, mitochondrial; Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
4932.Q0045	COX1	534	Subunit I of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits
4932.Q0050	AI1	834	Putative COX1/OXI3 intron 1 protein; Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
4932.Q0055	AI2	854	Putative COX1/OXI3 intron 2 protein; Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene
4932.Q0060	AI3	415	Intron-encoded DNA endonuclease aI3; Endonuclease I-SceIII; encoded by a mobile group I intron within the mitochondrial COX1 gene
4932.Q0065	AI4	556	Intron-encoded DNA endonuclease aI4; Endonuclease I-SceII; encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity
4932.Q0070	AI5_ALPHA	630	Intron-encoded DNA endonuclease aI5 alpha; Endonuclease I-SceIV; involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene; In the N-terminal section; belongs to the heme-copper respiratory oxidase family
4932.Q0075	AI5_BETA	354	Intron-encoded DNA endonuclease aI5 beta; Protein of unknown function; encoded within an intron of the mitochondrial COX1 gene; translational initiation codon is predicted to be ATA rather than ATG
4932.Q0080	ATP8	48	ATP synthase protein 8; Subunit 8 of the F0 sector of mitochondrial F1F0 ATP synthase; encoded on the mitochondrial genome; ATP8 and ATP6 mRNAs are not translated in the absence of the F1 sector of ATPase
4932.Q0085	ATP6	259	Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase; mutations in human ortholog MT-ATP6 are associated with neurodegenerative disorders such as Neurogenic Ataxia and Retinitis Pigmentosa (NARP), Leigh syndrome (LS), Charcot-Marie-Tooth (CMT), and ataxia telangiectasia
4932.Q0092	ORI5	46	Putative uncharacterized protein Q0092, mitochondrial; Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
4932.Q0105	COB	385	Cytochrome b; mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p
4932.Q0110	BI2	423	Cytochrome b mRNA maturase bI2; Mitochondrial mRNA maturase with a role in splicing; encoded by both exon and intron sequences of partially processed COB mRNA; In the N-terminal section; belongs to the cytochrome b family
4932.Q0115	BI3	517	Cytochrome b mRNA maturase bI3; Mitochondrial mRNA maturase; forms a complex with Mrs1p to mediate splicing of the bI3 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA
4932.Q0120	BI4	638	Mitochondrial mRNA maturase; forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA
4932.Q0130	OLI1	76	F0-ATP synthase subunit c (ATPase-associated proteolipid); encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2
4932.Q0140	VAR1	398	Mitochondrial ribosomal protein of the small subunit; mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near the mitochondrial inner membrane; may have a role in loss of mitochondrial DNA under stress conditions
4932.Q0142	Q0142	58	Putative uncharacterized protein Q0142, mitochondrial; Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps dubious open reading frame Q0143
4932.Q0143	Q0143	50	Putative uncharacterized protein Q0143, mitochondrial; Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
4932.Q0144	Q0144	109	Putative uncharacterized protein Q0144, mitochondrial; Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
4932.Q0160	SCEI	235	I-SceI DNA endonuclease; encoded by the mitochondrial group I intron of the 21S_rRNA gene; mediates gene conversion that propagates the intron into intron-less copies of the 21S_rRNA gene
4932.Q0182	Q0182	134	Putative uncharacterized protein Q0182, mitochondrial; Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
4932.Q0250	COX2	251	Subunit II of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits
4932.Q0255	Q0255	472	Uncharacterized mitochondrial protein RF1; Maturase-like protein
4932.Q0275	COX3	269	Subunit III of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits
4932.Q0297	Q0297	51	Putative uncharacterized protein Q0297, mitochondrial; Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene RPM1
4932.YAL001C	TFC3	1160	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)
