#string_protein_id	preferred_name	protein_size	annotation
272562.CA_C0001	dnaA	446	Plays an important role in the initiation and regulation of chromosomal replication. Binds to the origin of replication; it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box): 5'- TTATC[CA]A[CA]A-3'. DnaA binds to ATP and to acidic phospholipids. 
272562.CA_C0002	dnaN	366	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP- independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria; Pol III exhibits 3'-5' exonuclease proofreading activity. The beta chain is required for initiation of replication as well as for proces [...] 
272562.CA_C0003	CA_C0003	68	annotation not available
272562.CA_C0004	recF	363	The RecF protein is involved in DNA metabolism; it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP
272562.CA_C0005	CA_C0005	110	annotation not available
272562.CA_C0006	gyrB	637	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner
272562.CA_C0007	gyrA	830	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner
272562.CA_C0008	CA_C0008	158	annotation not available
272562.CA_C0009	CA_C0009	171	annotation not available
272562.CA_C0010	CA_C0010	906	annotation not available
272562.CA_C0011	CA_C0011	286	annotation not available
272562.CA_C0012	Dehydrogenase	467	annotation not available
272562.CA_C0013	CA_C0013	76	annotation not available
272562.CA_C0014	Aminotransferase	356	annotation not available
272562.CA_C0015	serA	305	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
272562.CA_C0016	CA_C0016	414	annotation not available
272562.CA_C0017	serS2	425	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L- seryl-tRNA(Sec), which will be further converted into selenocysteinyl- tRNA(Sec)
272562.CA_C0018	CA_C0018	200	annotation not available
272562.CA_C0019	CA_C0019	201	annotation not available
272562.CA_C0020	CA_C0020	879	Belongs to the major facilitator superfamily. 
272562.CA_C0021	serS1	424	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L- seryl-tRNA(Sec), which will be further converted into selenocysteinyl- tRNA(Sec)
